Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Christchurch,Demographics,Population - residents at 2013 census,Total people,341469,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Christchurch,Demographics,Projected population growth,Population projection - High,526800,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Christchurch,Demographics,Projected population growth,Population projection - Medium,459100,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Christchurch,Demographics,Projected population growth,Population projection - Low,392200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Christchurch,Demographics,Median Age,,38.6,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Christchurch,Demographics,Age in broad groups,14 and under,17.823130447005903851560303630,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Christchurch,Demographics,Age in broad groups,15-64,67.222202698903570424515040760,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Christchurch,Demographics,Age in broad groups,65 and over,14.954666854090525723924655610,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Christchurch,Demographics,Age in five-year groups,0-4,6.1367210493485499415759556500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Christchurch,Demographics,Age in five-year groups,5-9,5.7923266826564051202305333700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Christchurch,Demographics,Age in five-year groups,10-14,5.8924821872556513182748653600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Christchurch,Demographics,Age in five-year groups,15-19,6.764889345738558990713651900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Christchurch,Demographics,Age in five-year groups,20-24,7.9166776486298902682234697700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Christchurch,Demographics,Age in five-year groups,25-29,6.6849406534707396571870360100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Christchurch,Demographics,Age in five-year groups,30-34,6.3220965885629442204123946800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Christchurch,Demographics,Age in five-year groups,35-39,6.386231253788777312142537100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
