Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Waitaki,Demographics,Population - residents at 2013 census,Total people,20826,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Waitaki,Demographics,Projected population growth,Population projection - High,27600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waitaki,Demographics,Projected population growth,Population projection - Medium,24100,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waitaki,Demographics,Projected population growth,Population projection - Low,20600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waitaki,Demographics,Median Age,,46.3,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Waitaki,Demographics,Age in broad groups,14 and under,18.380870066263324690290982430,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in broad groups,15-64,59.507346585998271391529818500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in broad groups,65 and over,22.111783347738403918179199080,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,0-4,5.8348941074773087451375882400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,5-9,6.0942227344763002449214810500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,10-14,6.4399942371416222446333381400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,15-19,5.417086875090044662152427600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,20-24,4.307736637372136579743552800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,25-29,4.2501080535945829131249099600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,30-34,4.4374009508716323296354992100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,35-39,5.4891226048119867454257311600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,40-44,5.9933727128655813283388560700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,45-49,7.1171300965278778274023915900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,50-54,7.8374873937472986601354271700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,55-59,7.3908658694712577438409451100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,60-64,7.2756087019161504106036594200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Age in five-year groups,65 and over,22.114969024636219564904192480,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitaki,Demographics,Population by sex,Male,48.789974070872947277441659460,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Waitaki,Demographics,Population by sex,Female,51.210025929127052722558340540,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Waitaki,Demographics,Number of families of each family type,Couple without children,3105,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Waitaki,Demographics,Number of families of each family type,Couple with child(ren),2001,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Waitaki,Demographics,Number of families of each family type,One parent with child(ren),720,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Waitaki,Demographics,Years at usual residence (2013 Census),0 Years,3732,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waitaki,Demographics,Years at usual residence (2013 Census),1-4 Years,5271,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waitaki,Demographics,Years at usual residence (2013 Census),5-9 Years,4059,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waitaki,Demographics,Years at usual residence (2013 Census),10-14 Years,2187,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waitaki,Demographics,Years at usual residence (2013 Census),15-29 Years,2598,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waitaki,Demographics,Years at usual residence (2013 Census),30 Years or More,1500,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waitaki,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,1479,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waitaki,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,9483,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
