Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Central Hawke's Bay,Demographics,Population - residents at 2013 census,Total people,12720,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Central Hawke's Bay,Demographics,Projected population growth,Population projection - High,14900,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Central Hawke's Bay,Demographics,Projected population growth,Population projection - Medium,12700,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Central Hawke's Bay,Demographics,Projected population growth,Population projection - Low,10500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Central Hawke's Bay,Demographics,Median Age,,43.4,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Central Hawke's Bay,Demographics,Age in broad groups,14 and under,20.778301886792452830188679250,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Hawke's Bay,Demographics,Age in broad groups,15-64,61.933962264150943396226415090,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Hawke's Bay,Demographics,Age in broad groups,65 and over,17.287735849056603773584905660,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Hawke's Bay,Demographics,Age in five-year groups,0-4,7.2439830108541764983482774900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Hawke's Bay,Demographics,Age in five-year groups,5-9,6.7484662576687116564417177900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Hawke's Bay,Demographics,Age in five-year groups,10-14,6.7720622935346861727229825400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Hawke's Bay,Demographics,Age in five-year groups,15-19,5.7810287871637564889098631400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Hawke's Bay,Demographics,Age in five-year groups,20-24,4.1764983482774893817838603100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Hawke's Bay,Demographics,Age in five-year groups,25-29,3.9877300613496932515337423300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Hawke's Bay,Demographics,Age in five-year groups,30-34,4.9315714959886739027843322300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Hawke's Bay,Demographics,Age in five-year groups,35-39,5.6630486078338839075035394100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
