Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Hastings,Demographics,Population - residents at 2013 census,Total people,73245,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Hastings,Demographics,Projected population growth,Population projection - High,98200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Hastings,Demographics,Projected population growth,Population projection - Medium,86300,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Hastings,Demographics,Projected population growth,Population projection - Low,74500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Hastings,Demographics,Median Age,,39.6,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Hastings,Demographics,Age in broad groups,14 and under,22.883473274626254351832889620,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in broad groups,15-64,61.601474503379070243702641820,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in broad groups,65 and over,15.515052221994675404464468560,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,0-4,7.4374411270835893025351189700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,5-9,7.5603063439406970553303026600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,10-14,7.8879469222263177294507924800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,15-19,6.8886431584551746733832985200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,20-24,5.2709178031699225949133800200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,25-29,4.9309907031985911455133718300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,30-34,4.7753614285129213253061391700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,35-39,5.8524798296268992914772494600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,40-44,7.0442724331408444935905311900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,45-49,7.1835196789122332800917393600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,50-54,7.3760085186550354261375271300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,55-59,6.3767047548838923700700331700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,60-64,5.9016259163697423925953229300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Age in five-year groups,65 and over,15.513781381824138919605193100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hastings,Demographics,Population by sex,Male,48.210043417711149340542311790,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Hastings,Demographics,Population by sex,Female,51.789956582288850659457688210,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Hastings,Demographics,Number of families of each family type,Couple without children,7809,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
