Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Mackenzie,Demographics,Population - residents at 2013 census,Total people,4158,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Mackenzie,Demographics,Projected population growth,Population projection - High,5860,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Mackenzie,Demographics,Projected population growth,Population projection - Medium,5030,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Mackenzie,Demographics,Projected population growth,Population projection - Low,4200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Mackenzie,Demographics,Median Age,,41.8,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Mackenzie,Demographics,Age in broad groups,14 and under,19.927797833935018050541516250,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Mackenzie,Demographics,Age in broad groups,15-64,64.187725631768953068592057760,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Mackenzie,Demographics,Age in broad groups,65 and over,15.884476534296028880866425990,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Mackenzie,Demographics,Age in five-year groups,0-4,6.7099567099567099567099567100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Mackenzie,Demographics,Age in five-year groups,5-9,6.2770562770562770562770562800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Mackenzie,Demographics,Age in five-year groups,10-14,6.9264069264069264069264069300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Mackenzie,Demographics,Age in five-year groups,15-19,4.7619047619047619047619047600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Mackenzie,Demographics,Age in five-year groups,20-24,5.2669552669552669552669552700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Mackenzie,Demographics,Age in five-year groups,25-29,5.3391053391053391053391053400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Mackenzie,Demographics,Age in five-year groups,30-34,5.8441558441558441558441558400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Mackenzie,Demographics,Age in five-year groups,35-39,5.9884559884559884559884559900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Mackenzie,Demographics,Age in five-year groups,40-44,7.7922077922077922077922077900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
