Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Horowhenua,Demographics,Population - residents at 2013 census,Total people,30096,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Horowhenua,Demographics,Projected population growth,Population projection - High,36000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Horowhenua,Demographics,Projected population growth,Population projection - Medium,31500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Horowhenua,Demographics,Projected population growth,Population projection - Low,27100,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Horowhenua,Demographics,Median Age,,46.1,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Horowhenua,Demographics,Age in broad groups,14 and under,19.146815508820891059503637990,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Horowhenua,Demographics,Age in broad groups,15-64,57.111531944582876507525166950,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Horowhenua,Demographics,Age in broad groups,65 and over,23.741652546596232432971195060,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Horowhenua,Demographics,Age in five-year groups,0-4,6.0488290981564524165421026400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Horowhenua,Demographics,Age in five-year groups,5-9,6.3876432486297957149975087200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Horowhenua,Demographics,Age in five-year groups,10-14,6.7065271549576482311908320900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Horowhenua,Demographics,Age in five-year groups,15-19,6.2979571499750871948181365200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Horowhenua,Demographics,Age in five-year groups,20-24,4.653712007972097658196312900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Horowhenua,Demographics,Age in five-year groups,25-29,3.8863976083707025411061285500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Horowhenua,Demographics,Age in five-year groups,30-34,3.9063278525161933233682112600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Horowhenua,Demographics,Age in five-year groups,35-39,4.743398106626806178375685100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
