Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Rangitikei,Demographics,Population - residents at 2013 census,Total people,14019,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Rangitikei,Demographics,Projected population growth,Population projection - High,15900,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Rangitikei,Demographics,Projected population growth,Population projection - Medium,13550,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Rangitikei,Demographics,Projected population growth,Population projection - Low,11200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Rangitikei,Demographics,Median Age,,41.8,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Rangitikei,Demographics,Age in broad groups,14 and under,21.099935801412368927883586560,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in broad groups,15-64,61.331050716884228546971966620,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in broad groups,65 and over,17.569013481703402525144446820,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,0-4,7.2131849315068493150684931500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,5-9,7.1061643835616438356164383600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,10-14,6.7636986301369863013698630100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,15-19,6.0787671232876712328767123300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,20-24,5.7577054794520547945205479500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,25-29,4.8373287671232876712328767100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,30-34,4.9229452054794520547945205500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,35-39,5.2654109589041095890410958900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,40-44,6.2071917808219178082191780800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,45-49,7.4272260273972602739726027400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,50-54,7.7696917808219178082191780800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,55-59,7.084760273972602739726027400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,60-64,5.9931506849315068493150684900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Age in five-year groups,65 and over,17.572773972602739726027397260,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Rangitikei,Demographics,Population by sex,Male,49.582709180398031243312647120,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Rangitikei,Demographics,Population by sex,Female,50.417290819601968756687352880,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Rangitikei,Demographics,Number of families of each family type,Couple without children,1836,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Rangitikei,Demographics,Number of families of each family type,Couple with child(ren),1500,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Rangitikei,Demographics,Number of families of each family type,One parent with child(ren),573,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Rangitikei,Demographics,Years at usual residence (2013 Census),0 Years,2607,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years at usual residence (2013 Census),1-4 Years,3357,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years at usual residence (2013 Census),5-9 Years,2739,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years at usual residence (2013 Census),10-14 Years,1419,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years at usual residence (2013 Census),15-29 Years,1932,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years at usual residence (2013 Census),30 Years or More,1158,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,810,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,6729,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,4605,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,1011,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Usual residence five years ago (2008 Census),Overseas,438,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,6,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,1233,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Māori descent,Maori Descent,3507,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Māori descent,No Maori Descent,8847,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Māori descent,Don't Know,369,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Māori descent,Not Elsewhere Included,1299,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Ethnic group (grouped totals),European,10824,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Ethnic group (grouped totals),Maori,3270,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Ethnic group (grouped totals),Pacific Peoples,519,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Ethnic group (grouped totals),Asian,210,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Ethnic group (grouped totals),MELAA,15,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Ethnic group (grouped totals),Other,330,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,588,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,561,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,198,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years since arrival in NZ for those born overseas,20-29 Years,117,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years since arrival in NZ for those born overseas,30-39 Years,135,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years since arrival in NZ for those born overseas,40-49 Years,186,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years since arrival in NZ for those born overseas,50 Years or More,195,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Years since arrival in NZ for those born overseas,Not Elsewhere Included,54,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Place of birth,NZ born,84.83097988874625588361146769,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Place of birth,Overseas born,10.333761232349165596919127090,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Place of birth,Not Elsewhere Included,4.8352588789045785194694052200,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Rangitikei,Demographics,Births in year,Māori,87,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Rangitikei,Demographics,Births in year,All,207,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Rangitikei,Demographics,Deaths in year,Māori,24,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Rangitikei,Demographics,Deaths in year,All,129,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Rangitikei,Demographics,Percentage of city/district's population born overseas,"Oceania and Antarctica, excluding New Zealand",3.574640287769784,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Rangitikei,Demographics,Percentage of city/district's population born overseas,UK and Ireland,4.586330935251799,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Rangitikei,Demographics,Percentage of city/district's population born overseas,North-West Europe,0.6519784172661871,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Rangitikei,Demographics,Percentage of city/district's population born overseas,Southern and Eastern Europe,0.15737410071942445,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Rangitikei,Demographics,Percentage of city/district's population born overseas,North Africa and the Middle East,0.02248201438848921,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Rangitikei,Demographics,Percentage of city/district's population born overseas,South-East Asia,0.5620503597122302,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Rangitikei,Demographics,Percentage of city/district's population born overseas,Southern and Central Asia,0.20233812949640287,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Rangitikei,Demographics,Percentage of city/district's population born overseas,Americas,0.4721223021582734,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Rangitikei,Demographics,Percentage of city/district's population born overseas,Sub-Saharan Africa,0.427158273381295,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
