Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Ruapehu,Demographics,Population - residents at 2013 census,Total people,11844,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Ruapehu,Demographics,Projected population growth,Population projection - High,11250,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Ruapehu,Demographics,Projected population growth,Population projection - Medium,8980,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Ruapehu,Demographics,Projected population growth,Population projection - Low,6770,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Ruapehu,Demographics,Median Age,,37.7,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Ruapehu,Demographics,Age in broad groups,14 and under,23.373005824259306153456571280,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in broad groups,15-64,63.383134970878703469232717140,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in broad groups,65 and over,13.243859204861990377310711570,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,0-4,8.462123131492272612110463640,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,5-9,7.9047377755257157334684570600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,10-14,6.9926526475804408411451735500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,15-19,6.7392956675956422599442614600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,20-24,5.95388902964276665822143400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,25-29,5.6751963516594882189004307100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,30-34,5.2698251836838104889789713700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,35-39,5.7512034456549277932607043300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,40-44,6.257917405624524955662528500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,45-49,6.5872814796047631112237142100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,50-54,7.6007093995439574360273625500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,55-59,7.3220167215606789967063592600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,60-64,6.2325817076260450975424372900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Age in five-year groups,65 and over,13.250570053204965796807702050,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ruapehu,Demographics,Population by sex,Male,50.658561296859169199594731510,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Ruapehu,Demographics,Population by sex,Female,49.341438703140830800405268490,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Ruapehu,Demographics,Number of families of each family type,Couple without children,1257,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Ruapehu,Demographics,Number of families of each family type,Couple with child(ren),1140,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Ruapehu,Demographics,Number of families of each family type,One parent with child(ren),675,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Ruapehu,Demographics,Years at usual residence (2013 Census),0 Years,2460,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Ruapehu,Demographics,Years at usual residence (2013 Census),1-4 Years,3027,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Ruapehu,Demographics,Years at usual residence (2013 Census),5-9 Years,2160,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Ruapehu,Demographics,Years at usual residence (2013 Census),10-14 Years,1155,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Ruapehu,Demographics,Years at usual residence (2013 Census),15-29 Years,1422,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Ruapehu,Demographics,Years at usual residence (2013 Census),30 Years or More,885,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Ruapehu,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,735,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
