Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Nelson,Demographics,Population - residents at 2013 census,Total people,46437,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Nelson,Demographics,Projected population growth,Population projection - High,66400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Nelson,Demographics,Projected population growth,Population projection - Medium,58000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Nelson,Demographics,Projected population growth,Population projection - Low,49700,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Nelson,Demographics,Median Age,,42.5,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Nelson,Demographics,Age in broad groups,14 and under,18.831965889269332644227663290,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Nelson,Demographics,Age in broad groups,15-64,63.712126106337618709218941790,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Nelson,Demographics,Age in broad groups,65 and over,17.455908004393048646553394920,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Nelson,Demographics,Age in five-year groups,0-4,6.0981912144702842377260981900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Nelson,Demographics,Age in five-year groups,5-9,6.2596899224806201550387596900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Nelson,Demographics,Age in five-year groups,10-14,6.4728682170542635658914728700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Nelson,Demographics,Age in five-year groups,15-19,6.0012919896640826873385012900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Nelson,Demographics,Age in five-year groups,20-24,5.0258397932816537467700258400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Nelson,Demographics,Age in five-year groups,25-29,5.1162790697674418604651162800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Nelson,Demographics,Age in five-year groups,30-34,5.2519379844961240310077519400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Nelson,Demographics,Age in five-year groups,35-39,6.1175710594315245478036175700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
