Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Porirua,Demographics,Population - residents at 2013 census,Total people,51717,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Porirua,Demographics,Projected population growth,Population projection - High,70200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Porirua,Demographics,Projected population growth,Population projection - Medium,60500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Porirua,Demographics,Projected population growth,Population projection - Low,51000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Porirua,Demographics,Median Age,,35.2,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Porirua,Demographics,Age in broad groups,14 and under,24.502581356227159347990022620,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Porirua,Demographics,Age in broad groups,15-64,65.189396136666860026683682350,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Porirua,Demographics,Age in broad groups,65 and over,10.308022507105980625326295030,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Porirua,Demographics,Age in five-year groups,0-4,8.567285382830626450116009280,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Porirua,Demographics,Age in five-year groups,5-9,8.138051044083526682134570770,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Porirua,Demographics,Age in five-year groups,10-14,7.7958236658932714617169373500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Porirua,Demographics,Age in five-year groups,15-19,7.4071925754060324825986078900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Porirua,Demographics,Age in five-year groups,20-24,6.3979118329466357308584686800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Porirua,Demographics,Age in five-year groups,25-29,5.330626450116009280742459400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
