Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Queenstown-Lakes,Demographics,Population - residents at 2013 census,Total people,28224,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Queenstown-Lakes,Demographics,Projected population growth,Population projection - High,65000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Queenstown-Lakes,Demographics,Projected population growth,Population projection - Medium,57400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Queenstown-Lakes,Demographics,Projected population growth,Population projection - Low,49800,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Queenstown-Lakes,Demographics,Median Age,,36.4,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Queenstown-Lakes,Demographics,Age in broad groups,14 and under,18.390560221111937918571276710,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in broad groups,15-64,70.872754331880514510470925910,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in broad groups,65 and over,10.736685447007547570957797380,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,0-4,7.2164948453608247422680412400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,5-9,6.0155170581358273992985439500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,10-14,5.154639175257731958762886600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,15-19,4.3043894143904772026782867500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,20-24,5.8348389839515357636305664800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,25-29,8.980763099160378361143585930,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,30-34,9.831012860027633117228185780,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,35-39,8.821341268997768094377723460,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,40-44,8.704431926878520565416090980,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,45-49,7.1633542353066213200127537500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,50-54,6.5788075247103836752045913500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,55-59,5.5053672016154745456477840400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,60-64,5.144011053246891274311829100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Age in five-year groups,65 and over,10.745031352959931980019130620,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Queenstown-Lakes,Demographics,Population by sex,Male,50.069097480599553523971510580,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Queenstown-Lakes,Demographics,Population by sex,Female,49.930902519400446476028489420,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Queenstown-Lakes,Demographics,Number of families of each family type,Couple without children,4023,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Queenstown-Lakes,Demographics,Number of families of each family type,Couple with child(ren),3072,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Queenstown-Lakes,Demographics,Number of families of each family type,One parent with child(ren),618,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Queenstown-Lakes,Demographics,Years at usual residence (2013 Census),0 Years,8181,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years at usual residence (2013 Census),1-4 Years,8862,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years at usual residence (2013 Census),5-9 Years,4842,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years at usual residence (2013 Census),10-14 Years,2298,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years at usual residence (2013 Census),15-29 Years,1767,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years at usual residence (2013 Census),30 Years or More,363,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
