Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Southland,Demographics,Population - residents at 2013 census,Total people,29613,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Southland,Demographics,Projected population growth,Population projection - High,36700,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Southland,Demographics,Projected population growth,Population projection - Medium,32000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Southland,Demographics,Projected population growth,Population projection - Low,27400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Southland,Demographics,Median Age,,39.1,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Southland,Demographics,Age in broad groups,14 and under,22.056737588652482269503546100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in broad groups,15-64,64.346504559270516717325227960,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in broad groups,65 and over,13.596757852077001013171225940,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,0-4,7.2963113092825293879205512800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,5-9,7.5192541548439400081070125700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,10-14,7.2456424807458451560599918900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,15-19,6.0599918929874341305229023100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,20-24,5.0364815565464126469396027600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,25-29,5.715443858937981353871098500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,30-34,5.9079854073773814349412241600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,35-39,6.5261451155249290636400486400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,40-44,7.3672476692338873125253344100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,45-49,7.3064450749898662342926631500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,50-54,7.8131333603567085528982569900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,55-59,6.7389541953790028374543980500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,60-64,5.8674503445480340494527766500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Age in five-year groups,65 and over,13.599513579246047831374138630,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Southland,Demographics,Population by sex,Male,51.625975078512815317597001320,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Southland,Demographics,Population by sex,Female,48.374024921487184682402998680,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Southland,Demographics,Number of families of each family type,Couple without children,3999,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Southland,Demographics,Number of families of each family type,Couple with child(ren),3678,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Southland,Demographics,Number of families of each family type,One parent with child(ren),663,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Southland,Demographics,Years at usual residence (2013 Census),0 Years,5730,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years at usual residence (2013 Census),1-4 Years,7893,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years at usual residence (2013 Census),5-9 Years,5439,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years at usual residence (2013 Census),10-14 Years,3189,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years at usual residence (2013 Census),15-29 Years,3627,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years at usual residence (2013 Census),30 Years or More,2229,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,1506,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,13413,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,10122,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,2163,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Usual residence five years ago (2008 Census),Overseas,1395,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,6,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,2514,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Māori descent,Maori Descent,3534,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Māori descent,No Maori Descent,22719,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Māori descent,Don't Know,798,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Māori descent,Not Elsewhere Included,2562,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Ethnic group (grouped totals),European,25485,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Ethnic group (grouped totals),Maori,2829,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Ethnic group (grouped totals),Pacific Peoples,240,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Ethnic group (grouped totals),Asian,1119,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Ethnic group (grouped totals),MELAA,159,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Ethnic group (grouped totals),Other,708,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,1230,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,1857,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,477,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years since arrival in NZ for those born overseas,20-29 Years,231,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years since arrival in NZ for those born overseas,30-39 Years,180,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years since arrival in NZ for those born overseas,40-49 Years,180,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years since arrival in NZ for those born overseas,50 Years or More,195,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Years since arrival in NZ for those born overseas,Not Elsewhere Included,141,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Place of birth,NZ born,84.31928687196110210696920583,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Place of birth,Overseas born,11.010940032414910858995137760,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Place of birth,Not Elsewhere Included,4.669773095623987034035656400,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Southland,Demographics,Births in year,Māori,66,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Southland,Demographics,Births in year,All,363,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Southland,Demographics,Deaths in year,Māori,12,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Southland,Demographics,Deaths in year,All,159,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Southland,Demographics,Percentage of city/district's population born overseas,"Oceania and Antarctica, excluding New Zealand",1.7640807651434645,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Southland,Demographics,Percentage of city/district's population born overseas,UK and Ireland,3.2412327311370883,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Southland,Demographics,Percentage of city/district's population born overseas,North-West Europe,1.2646121147715197,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
