Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Stratford,Demographics,Population - residents at 2013 census,Total people,8991,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Stratford,Demographics,Projected population growth,Population projection - High,11200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Stratford,Demographics,Projected population growth,Population projection - Medium,9420,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Stratford,Demographics,Projected population growth,Population projection - Low,7710,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Stratford,Demographics,Median Age,,39,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Stratford,Demographics,Age in broad groups,14 and under,21.988655321988655321988655320,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Stratford,Demographics,Age in broad groups,15-64,61.861861861861861861861861860,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Stratford,Demographics,Age in broad groups,65 and over,16.149482816149482816149482820,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Stratford,Demographics,Age in five-year groups,0-4,7.5408742075408742075408742100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Stratford,Demographics,Age in five-year groups,5-9,7.0737404070737404070737404100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Stratford,Demographics,Age in five-year groups,10-14,7.3740407073740407073740407100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Stratford,Demographics,Age in five-year groups,15-19,6.5732399065732399065732399100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Stratford,Demographics,Age in five-year groups,20-24,5.5055055055055055055055055100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Stratford,Demographics,Age in five-year groups,25-29,5.7057057057057057057057057100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Stratford,Demographics,Age in five-year groups,30-34,5.6389723056389723056389723100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Stratford,Demographics,Age in five-year groups,35-39,5.8725392058725392058725392100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
