Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Waikato,Demographics,Population - residents at 2013 census,Total people,63378,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Waikato,Demographics,Projected population growth,Population projection - High,113600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waikato,Demographics,Projected population growth,Population projection - Medium,101700,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waikato,Demographics,Projected population growth,Population projection - Low,89900,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waikato,Demographics,Median Age,,38.2,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Waikato,Demographics,Age in broad groups,14 and under,23.989396951623591782637508280,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in broad groups,15-64,64.172110195967054813973303040,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in broad groups,65 and over,11.838492852409353403389188680,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,0-4,7.4363343747041560162832528600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,5-9,8.316766070245195493704440030,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,10-14,8.236296506674240272649815390,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,15-19,6.7310423175234308435103663700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,20-24,5.2683896620278330019880715700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,25-29,4.8755088516519928050743160100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,30-34,5.2447221433304932310896525600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,35-39,6.3334280034081226924169270100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,40-44,7.999621319700842563665625300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,45-49,7.8434156962984000757360598300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,50-54,7.6919435766354255419861781700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waikato,Demographics,Age in five-year groups,55-59,6.7641768436997065227681529900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
