Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Waimakariri,Demographics,Population - residents at 2013 census,Total people,49989,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Waimakariri,Demographics,Projected population growth,Population projection - High,102100,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waimakariri,Demographics,Projected population growth,Population projection - Medium,83100,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waimakariri,Demographics,Projected population growth,Population projection - Low,64400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waimakariri,Demographics,Median Age,,42.9,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Waimakariri,Demographics,Age in broad groups,14 and under,20.387708558396350978273916700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in broad groups,15-64,62.855599567879006121714079940,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in broad groups,65 and over,16.756691873724642900012003360,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,0-4,5.8519896764900066022447632200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,5-9,6.9743712862373206890342716500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,10-14,7.5685733149270752055698937600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,15-19,6.758297821259228137566772700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,20-24,4.4415101134385691134985895200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,25-29,3.6312346197707220454954684600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,30-34,4.1594142008282816157493547800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,35-39,5.9060080427345297401116379600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,40-44,8.234799831942860572594682190,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,45-49,8.300822279575055518876417980,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,50-54,7.928695756557229458015725350,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,55-59,6.8603325130544385090930916500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,60-64,6.6262529259948382450033011200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Age in five-year groups,65 and over,16.757697617189844547146029650,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waimakariri,Demographics,Population by sex,Male,49.060793374542399327852127470,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Waimakariri,Demographics,Population by sex,Female,50.939206625457600672147872530,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Waimakariri,Demographics,Number of families of each family type,Couple without children,6810,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Waimakariri,Demographics,Number of families of each family type,Couple with child(ren),6210,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Waimakariri,Demographics,Number of families of each family type,One parent with child(ren),1656,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Waimakariri,Demographics,Years at usual residence (2013 Census),0 Years,10188,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waimakariri,Demographics,Years at usual residence (2013 Census),1-4 Years,14637,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waimakariri,Demographics,Years at usual residence (2013 Census),5-9 Years,11175,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waimakariri,Demographics,Years at usual residence (2013 Census),10-14 Years,5178,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waimakariri,Demographics,Years at usual residence (2013 Census),15-29 Years,5133,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waimakariri,Demographics,Years at usual residence (2013 Census),30 Years or More,1539,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waimakariri,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,2136,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waimakariri,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,21378,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waimakariri,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,20112,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waimakariri,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,2925,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waimakariri,Demographics,Usual residence five years ago (2008 Census),Overseas,2190,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Waimakariri,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,9,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
