Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Carterton,Demographics,Population - residents at 2013 census,Total people,8235,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Carterton,Demographics,Projected population growth,Population projection - High,11350,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Carterton,Demographics,Projected population growth,Population projection - Medium,9740,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Carterton,Demographics,Projected population growth,Population projection - Low,8120,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Carterton,Demographics,Median Age,,44.2,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Carterton,Demographics,Age in broad groups,14 and under,19.854280510018214936247723130,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in broad groups,15-64,61.384335154826958105646630240,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in broad groups,65 and over,18.761384335154826958105646630,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,0-4,6.5597667638483965014577259500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,5-9,6.8148688046647230320699708500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,10-14,6.4504373177842565597667638500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,15-19,6.6690962099125364431486880500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,20-24,3.7900874635568513119533527700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,25-29,3.3163265306122448979591836700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,30-34,4.5553935860058309037900874600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,35-39,5.7580174927113702623906705500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,40-44,7.2521865889212827988338192400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,45-49,7.2521865889212827988338192400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,50-54,7.8717201166180758017492711400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,55-59,7.5437317784256559766763848400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,60-64,7.3979591836734693877551020400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Age in five-year groups,65 and over,18.768221574344023323615160350,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Carterton,Demographics,Population by sex,Male,49.326047358834244080145719490,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
