Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Westland,Demographics,Population - residents at 2013 census,Total people,8304,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Westland,Demographics,Projected population growth,Population projection - High,10100,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Westland,Demographics,Projected population growth,Population projection - Medium,8500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Westland,Demographics,Projected population growth,Population projection - Low,6920,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Westland,Demographics,Median Age,,42.6,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Westland,Demographics,Age in broad groups,14 and under,18.454315637414228963524738170,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in broad groups,15-64,66.016612495485734922354640660,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in broad groups,65 and over,15.529071867100036114120621160,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,0-4,6.3560852293246659443842542400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,5-9,5.994944023113037197544239800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,10-14,6.1032863849765258215962441300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,15-19,5.1643192488262910798122065700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,20-24,5.2365474900686168291802094600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,25-29,5.344889851932105453232213800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,30-34,5.8866016612495485734922354600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,35-39,6.3921993499458288190682556900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,40-44,7.1144817623690863127482845800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,45-49,8.197905381003972553268327920,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,50-54,8.450704225352112676056338030,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Westland,Demographics,Age in five-year groups,55-59,7.620079451065366558324304800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
