Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Tauranga,Demographics,Population - residents at 2013 census,Total people,114789,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Tauranga,Demographics,Projected population growth,Population projection - High,202300,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Tauranga,Demographics,Projected population growth,Population projection - Medium,179500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Tauranga,Demographics,Projected population growth,Population projection - Low,156900,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Tauranga,Demographics,Median Age,,41,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Tauranga,Demographics,Age in broad groups,14 and under,20.583853853592243159187727050,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in broad groups,15-64,60.152105166871390115777644200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in broad groups,65 and over,19.264040979536366725034628750,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,0-4,6.8553656369243635983482306200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,5-9,6.8788876692279546286132455200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,10-14,6.8501385186346767027337828700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,15-19,6.0739114526161727039882912600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,20-24,5.2323454079765825100622027100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,25-29,5.2689352360043907793633369900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,30-34,5.360409806073911452616172700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,35-39,6.1523182269614761382050075800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,40-44,6.9755893575871621974805289800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,45-49,6.6985520882337567299147979700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,50-54,6.7168470022476608645653651100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,55-59,6.045162302022894778108828600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,60-64,5.6296063979927865767602320800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Age in five-year groups,65 and over,19.26193089749621033923997700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tauranga,Demographics,Population by sex,Male,47.374748451506677469095470820,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Tauranga,Demographics,Population by sex,Female,52.625251548493322530904529180,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Tauranga,Demographics,Number of families of each family type,Couple without children,14646,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Tauranga,Demographics,Number of families of each family type,Couple with child(ren),11589,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Tauranga,Demographics,Number of families of each family type,One parent with child(ren),6018,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Tauranga,Demographics,Years at usual residence (2013 Census),0 Years,26340,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tauranga,Demographics,Years at usual residence (2013 Census),1-4 Years,34761,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tauranga,Demographics,Years at usual residence (2013 Census),5-9 Years,22785,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tauranga,Demographics,Years at usual residence (2013 Census),10-14 Years,11703,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tauranga,Demographics,Years at usual residence (2013 Census),15-29 Years,9987,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tauranga,Demographics,Years at usual residence (2013 Census),30 Years or More,2676,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tauranga,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,6531,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
