Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Napier,Demographics,Population - residents at 2013 census,Total people,57240,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Napier,Demographics,Projected population growth,Population projection - High,74600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Napier,Demographics,Projected population growth,Population projection - Medium,65400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Napier,Demographics,Projected population growth,Population projection - Low,56200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Napier,Demographics,Median Age,,41.6,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Napier,Demographics,Age in broad groups,14 and under,20.147806488809686042245400700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in broad groups,15-64,61.224382829288746789664028510,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in broad groups,65 and over,18.627810681901567168090570780,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,60-64,6.4259133078253577231511085500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,0-4,6.693222915247130352743854500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,5-9,6.6355679018816499816552230200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,10-14,6.8242570365323130143089260400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,15-19,6.5569474291105403847161800900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,20-24,5.4510194454635987211069762600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,25-29,4.7906074741862781068190156700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,30-34,5.0159861627967922847109387300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,35-39,5.870328633576183238115205200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,40-44,6.8504638607893495466219403500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,45-49,6.7770847528696472561455002900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,50-54,7.1649457518737879343781120600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,55-59,6.3158446459458042874364484500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Age in five-year groups,65 and over,18.627810681901567168090570780,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Napier,Demographics,Population by sex,Male,47.211740041928721174004192870,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Napier,Demographics,Population by sex,Female,52.788259958071278825995807130,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Napier,Demographics,Number of families of each family type,Couple without children,6852,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Napier,Demographics,Number of families of each family type,Couple with child(ren),5415,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Napier,Demographics,Number of families of each family type,One parent with child(ren),3357,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
