Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Manawatu,Demographics,Population - residents at 2013 census,Total people,27459,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Manawatu,Demographics,Projected population growth,Population projection - High,39400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Manawatu,Demographics,Projected population growth,Population projection - Medium,34800,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Manawatu,Demographics,Projected population growth,Population projection - Low,30300,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Manawatu,Demographics,Median Age,,41,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Manawatu,Demographics,Age in broad groups,14 and under,21.088286713286713286713286710,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Manawatu,Demographics,Age in broad groups,15-64,63.122814685314685314685314690,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Manawatu,Demographics,Age in broad groups,65 and over,15.788898601398601398601398600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Manawatu,Demographics,Age in five-year groups,0-4,6.5880039331366764995083579200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Manawatu,Demographics,Age in five-year groups,5-9,6.9266907025019119414399650400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Manawatu,Demographics,Age in five-year groups,10-14,7.5712881022615535889872173100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Manawatu,Demographics,Age in five-year groups,15-19,6.9485414618157980989839396900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Manawatu,Demographics,Age in five-year groups,20-24,5.0256746421938162351141702200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Manawatu,Demographics,Age in five-year groups,25-29,4.9273462252813285261662842800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
