Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Central Otago,Demographics,Population - residents at 2013 census,Total people,17895,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Central Otago,Demographics,Projected population growth,Population projection - High,27500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Central Otago,Demographics,Projected population growth,Population projection - Medium,23600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Central Otago,Demographics,Projected population growth,Population projection - Low,19800,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Central Otago,Demographics,Median Age,,47,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Central Otago,Demographics,Age in broad groups,14 and under,18.206202849958088851634534790,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in broad groups,15-64,60.486169321039396479463537300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in broad groups,65 and over,21.307627829002514668901927910,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,0-4,5.8695287606909273855441891700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,5-9,6.0372295824249538822740231400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,10-14,6.305550897199396277041757500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,15-19,4.5950025155123260103974509500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,20-24,3.538487338587959080999496900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,25-29,4.0248197216166359215160154300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,30-34,4.8633238302867684051651853100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,35-39,5.5005869528760690927385544200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,40-44,6.7918832802280731175582760400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,45-49,6.9595841019620996142881100100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,50-54,7.7980882106322320979372798900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,55-59,8.032869361059869193359047460,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,60-64,8.385041086701324836491698810,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Age in five-year groups,65 and over,21.298004360221365084688914980,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Central Otago,Demographics,Population by sex,Male,49.941324392288348700754400670,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Central Otago,Demographics,Population by sex,Female,50.058675607711651299245599330,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Central Otago,Demographics,Number of families of each family type,Couple without children,3141,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Central Otago,Demographics,Number of families of each family type,Couple with child(ren),1716,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Central Otago,Demographics,Number of families of each family type,One parent with child(ren),516,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Central Otago,Demographics,Years at usual residence (2013 Census),0 Years,3501,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years at usual residence (2013 Census),1-4 Years,4881,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years at usual residence (2013 Census),5-9 Years,3876,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years at usual residence (2013 Census),10-14 Years,2028,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years at usual residence (2013 Census),15-29 Years,1998,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years at usual residence (2013 Census),30 Years or More,867,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,741,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,8064,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,6756,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,1050,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Usual residence five years ago (2008 Census),Overseas,735,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,6,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,1284,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Māori descent,Maori Descent,1647,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Māori descent,No Maori Descent,14310,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Māori descent,Don't Know,462,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Māori descent,Not Elsewhere Included,1476,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Ethnic group (grouped totals),European,16077,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Ethnic group (grouped totals),Maori,1302,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Ethnic group (grouped totals),Pacific Peoples,228,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Ethnic group (grouped totals),Asian,276,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Ethnic group (grouped totals),MELAA,45,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Ethnic group (grouped totals),Other,414,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,585,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,798,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,270,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years since arrival in NZ for those born overseas,20-29 Years,141,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years since arrival in NZ for those born overseas,30-39 Years,168,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years since arrival in NZ for those born overseas,40-49 Years,210,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years since arrival in NZ for those born overseas,50 Years or More,270,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Years since arrival in NZ for those born overseas,Not Elsewhere Included,75,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Place of birth,NZ born,85.23051131601005867560771165,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Place of birth,Overseas born,10.779547359597652975691533950,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Place of birth,Not Elsewhere Included,3.989941324392288348700754400,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Otago,Demographics,Births in year,Māori,45,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Central Otago,Demographics,Births in year,All,222,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Central Otago,Demographics,Deaths in year,Māori,3,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Central Otago,Demographics,Deaths in year,All,168,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Central Otago,Demographics,Percentage of city/district's population born overseas,"Oceania and Antarctica, excluding New Zealand",2.462022001047669,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Otago,Demographics,Percentage of city/district's population born overseas,UK and Ireland,4.836738257377336,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Otago,Demographics,Percentage of city/district's population born overseas,North-West Europe,1.0476689366160294,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Otago,Demographics,Percentage of city/district's population born overseas,Southern and Eastern Europe,0.26191723415400736,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Otago,Demographics,Percentage of city/district's population born overseas,North Africa and the Middle East,0.05238344683080147,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Otago,Demographics,Percentage of city/district's population born overseas,South-East Asia,0.7857517024620221,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Otago,Demographics,Percentage of city/district's population born overseas,Southern and Central Asia,0.19207263837960536,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Otago,Demographics,Percentage of city/district's population born overseas,Americas,0.71590710668762,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
