Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Gore,Demographics,Population - residents at 2013 census,Total people,12033,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Gore,Demographics,Projected population growth,Population projection - High,13600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Gore,Demographics,Projected population growth,Population projection - Medium,11450,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Gore,Demographics,Projected population growth,Population projection - Low,9340,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Gore,Demographics,Median Age,,42.9,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Gore,Demographics,Age in broad groups,14 and under,20.014955134596211365902293120,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in broad groups,15-64,60.942173479561316051844466600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in broad groups,65 and over,19.042871385842472582253240280,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,0-4,6.528781460254173934712185400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,5-9,6.7032145527037129329678544700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,10-14,6.8028906055320209319710939400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,15-19,6.7032145527037129329678544700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,20-24,5.1333167206578619486668327900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,25-29,4.3109892848243209568901071500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,30-34,4.9588836282083229504111637200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,35-39,5.3077498131074009469225018700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,40-44,6.1549962621480189384500373800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,45-49,7.5006229753301769249937702500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,50-54,8.198355345128332918016446550,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,55-59,6.9524046847744829304759531500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,60-64,5.7313730376277099426862696200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Age in five-year groups,65 and over,19.013207076999750809867929230,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Gore,Demographics,Population by sex,Male,49.065071054599850411368735980,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Gore,Demographics,Population by sex,Female,50.934928945400149588631264020,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Gore,Demographics,Number of families of each family type,Couple without children,1575,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Gore,Demographics,Number of families of each family type,Couple with child(ren),1293,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Gore,Demographics,Number of families of each family type,One parent with child(ren),426,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Gore,Demographics,Years at usual residence (2013 Census),0 Years,2025,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Years at usual residence (2013 Census),1-4 Years,2997,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Years at usual residence (2013 Census),5-9 Years,2406,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Years at usual residence (2013 Census),10-14 Years,1239,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Years at usual residence (2013 Census),15-29 Years,1779,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Years at usual residence (2013 Census),30 Years or More,957,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,630,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,5847,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,3981,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,786,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Usual residence five years ago (2008 Census),Overseas,300,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,0,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,1119,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Gore,Demographics,Māori descent,Maori Descent,1536,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
