Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Hauraki,Demographics,Population - residents at 2013 census,Total people,17811,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Hauraki,Demographics,Projected population growth,Population projection - High,23300,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Hauraki,Demographics,Projected population growth,Population projection - Medium,20300,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Hauraki,Demographics,Projected population growth,Population projection - Low,17250,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Hauraki,Demographics,Median Age,,45.6,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Hauraki,Demographics,Age in broad groups,14 and under,19.538487451574869462691595080,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in broad groups,15-64,58.581775307394306889001179050,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in broad groups,65 and over,21.879737241030823648307225870,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,0-4,6.449983159312899966318625800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,5-9,6.0794880431121589760862243200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,10-14,7.0225665207140451330414280900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,15-19,6.1973728528123947457056247900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,20-24,4.5301448299090602896598181200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,25-29,4.0586055911081172111822162300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,30-34,3.974402155607948804311215900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,35-39,4.74907376220949814752441900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,40-44,6.2478949141124957898282249900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,45-49,7.1236106433142472212866284900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,50-54,7.4941057595149882115190299800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,55-59,7.174132704614348265409228700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,60-64,7.0225665207140451330414280900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Age in five-year groups,65 and over,21.876052542943752105085887500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hauraki,Demographics,Population by sex,Male,48.584905660377358490566037740,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Hauraki,Demographics,Population by sex,Female,51.415094339622641509433962260,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Hauraki,Demographics,Number of families of each family type,Couple without children,2451,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Hauraki,Demographics,Number of families of each family type,Couple with child(ren),1632,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Hauraki,Demographics,Number of families of each family type,One parent with child(ren),927,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Hauraki,Demographics,Years at usual residence (2013 Census),0 Years,3195,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Years at usual residence (2013 Census),1-4 Years,4548,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Years at usual residence (2013 Census),5-9 Years,3762,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Years at usual residence (2013 Census),10-14 Years,1839,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Years at usual residence (2013 Census),15-29 Years,2190,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Years at usual residence (2013 Census),30 Years or More,1056,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,1218,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,8205,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,6141,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,1149,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Usual residence five years ago (2008 Census),Overseas,444,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,6,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,1863,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Māori descent,Maori Descent,4011,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Māori descent,No Maori Descent,11457,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Māori descent,Don't Know,477,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Māori descent,Not Elsewhere Included,1866,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Ethnic group (grouped totals),European,14430,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Ethnic group (grouped totals),Maori,3591,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Ethnic group (grouped totals),Pacific Peoples,405,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Ethnic group (grouped totals),Asian,417,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Ethnic group (grouped totals),MELAA,27,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Ethnic group (grouped totals),Other,297,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,870,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,528,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,312,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Years since arrival in NZ for those born overseas,20-29 Years,174,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hauraki,Demographics,Years since arrival in NZ for those born overseas,30-39 Years,267,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
