Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Kapiti Coast,Demographics,Population - residents at 2013 census,Total people,49104,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Kapiti Coast,Demographics,Projected population growth,Population projection - High,67500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Kapiti Coast,Demographics,Projected population growth,Population projection - Medium,59400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Kapiti Coast,Demographics,Projected population growth,Population projection - Low,51300,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Kapiti Coast,Demographics,Median Age,,46.9,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Kapiti Coast,Demographics,Age in broad groups,14 and under,18.432306940371456500488758550,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in broad groups,15-64,56.262218963831867057673509290,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in broad groups,65 and over,25.305474095796676441837732160,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,0-4,5.8172930033608310418576229800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,5-9,6.208371524595172624503513600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,10-14,6.4100213871066300030553009500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,15-19,5.6095325389550870760769935800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,20-24,3.9413382218148487626031164100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,25-29,3.2263978001833180568285976200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,30-34,3.8619003971891231286281698700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,35-39,5.1329055912007332722273143900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,40-44,7.0577451879010082493125572900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,45-49,7.1738466238924534066605560600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,50-54,7.4060494958753437213565536200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,55-59,6.3794683776351970669110907400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,60-64,6.4711274060494958753437213600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Age in five-year groups,65 and over,25.304002444240757714634891540,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Kapiti Coast,Demographics,Population by sex,Male,46.621456500488758553274682310,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Kapiti Coast,Demographics,Population by sex,Female,53.378543499511241446725317690,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Kapiti Coast,Demographics,Number of families of each family type,Couple without children,6951,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Kapiti Coast,Demographics,Number of families of each family type,Couple with child(ren),4737,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Kapiti Coast,Demographics,Number of families of each family type,One parent with child(ren),2307,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
