Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Wellington,Demographics,Population - residents at 2013 census,Total people,190959,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Wellington,Demographics,Projected population growth,Population projection - High,279000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Wellington,Demographics,Projected population growth,Population projection - Medium,250400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Wellington,Demographics,Projected population growth,Population projection - Low,221600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Wellington,Demographics,Median Age,,33.9,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Wellington,Demographics,Age in broad groups,65 and over,9.540791478799113945925565170,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in broad groups,14 and under,17.26548630857932854696557900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in broad groups,15-64,73.193722212621557507108855830,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,0-4,6.0184748798190215854463191600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,5-9,5.7419800798064536399912024400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,10-14,5.504760109341125459515505700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,15-19,7.5077764162503534734659251600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,20-24,10.235020580010682753636849220,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,25-29,8.601187670845508530492977660,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,30-34,8.109466804914066672950639390,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,35-39,7.5234863480692493794576931500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,40-44,7.6837276526219876205737267100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,45-49,7.3333961730606089169573004100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,50-54,6.5981713639362805165425582100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,55-59,5.1999874320545448832752065900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,60-64,4.401922895654632858893392400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Age in five-year groups,65 and over,9.540641593615483708800703800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wellington,Demographics,Population by sex,Male,48.429006818110409400823200430,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Wellington,Demographics,Population by sex,Female,51.570993181889590599176799570,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Wellington,Demographics,Number of families of each family type,Couple without children,20526,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Wellington,Demographics,Number of families of each family type,Couple with child(ren),21072,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Wellington,Demographics,Number of families of each family type,One parent with child(ren),6420,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Wellington,Demographics,Years at usual residence (2013 Census),0 Years,48351,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Wellington,Demographics,Years at usual residence (2013 Census),1-4 Years,53724,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Wellington,Demographics,Years at usual residence (2013 Census),5-9 Years,31344,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Wellington,Demographics,Years at usual residence (2013 Census),10-14 Years,18810,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Wellington,Demographics,Years at usual residence (2013 Census),15-29 Years,20448,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
