Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Auckland,Demographics,Population - residents at 2013 census,Total people,1415550,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Auckland,Demographics,Projected population growth,Population projection - High,2606800,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Auckland,Demographics,Projected population growth,Population projection - Medium,2326200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Auckland,Demographics,Projected population growth,Population projection - Low,2047600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Auckland,Demographics,Median Age,,35.1,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Auckland,Demographics,Age in broad groups,14 and under,20.935723080900881426049435310,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in broad groups,15-64,67.538343834574196406053631560,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in broad groups,65 and over,11.525933084524922167896933130,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,0-4,7.230930299588002916193350400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,5-9,6.8941693087604482799545616400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,10-14,6.8104559095301876875604008100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,15-19,7.2705617063122022346179278100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,20-24,7.6452586426137230633593869200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,25-29,7.0603245112832946203014530100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,30-34,6.961140028144656753869890300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,35-39,6.7489954392092368728912700700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,40-44,7.5036876282192570488801478400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,45-49,7.2328376934945151828554958400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,50-54,6.7191129346738780285176582300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Auckland,Demographics,Age in five-year groups,55-59,5.5780675132669842830742103400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
