Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Chatham Islands,Demographics,Population - residents at 2013 census,Total people,600,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Chatham Islands,Demographics,Projected population growth,Population projection - High,840,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Chatham Islands,Demographics,Projected population growth,Population projection - Medium,620,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Chatham Islands,Demographics,Projected population growth,Population projection - Low,400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Chatham Islands,Demographics,Median Age,,42.5,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Chatham Islands,Demographics,Age in broad groups,14 and under,20.0,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Chatham Islands,Demographics,Age in broad groups,15-64,68.00,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Chatham Islands,Demographics,Age in broad groups,65 and over,12.00,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Chatham Islands,Demographics,Age in five-year groups,0-4,6.5656565656565656565656565700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Chatham Islands,Demographics,Age in five-year groups,5-9,8.585858585858585858585858590,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Chatham Islands,Demographics,Age in five-year groups,10-14,5.5555555555555555555555555600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Chatham Islands,Demographics,Age in five-year groups,15-19,3.5353535353535353535353535400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Chatham Islands,Demographics,Age in five-year groups,20-24,6.0606060606060606060606060600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Chatham Islands,Demographics,Age in five-year groups,25-29,5.0505050505050505050505050500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
