Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Hurunui,Demographics,Population - residents at 2013 census,Total people,11529,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Hurunui,Demographics,Projected population growth,Population projection - High,16650,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Hurunui,Demographics,Projected population growth,Population projection - Medium,14550,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Hurunui,Demographics,Projected population growth,Population projection - Low,12450,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Hurunui,Demographics,Median Age,,43.7,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Hurunui,Demographics,Age in broad groups,14 and under,19.516003122560499609679937550,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in broad groups,15-64,62.841530054644808743169398910,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in broad groups,65 and over,17.642466822794691647150663540,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,0-4,6.4793130366900858704137392700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,5-9,6.7655477491543065313557116800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,10-14,6.271142336716107207910486600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,15-19,5.6206088992974238875878220100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,20-24,4.0853499869893312516263335900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,25-29,4.5277127244340359094457455100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,30-34,5.1001821493624772313296903500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,35-39,6.0629716367421285454072339300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,40-44,7.0778037991152745251105906800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,45-49,7.3380171740827478532396565200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,50-54,8.196721311475409836065573770,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,55-59,7.2599531615925058548009367700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,60-64,7.5722092115534738485558157700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Age in five-year groups,65 and over,17.642466822794691647150663540,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Hurunui,Demographics,Population by sex,Male,50.312337324310255075481520040,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Hurunui,Demographics,Population by sex,Female,49.687662675689744924518479960,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Hurunui,Demographics,Number of families of each family type,Couple without children,1758,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Hurunui,Demographics,Number of families of each family type,Couple with child(ren),1302,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Hurunui,Demographics,Number of families of each family type,One parent with child(ren),306,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Hurunui,Demographics,Years at usual residence (2013 Census),0 Years,2178,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hurunui,Demographics,Years at usual residence (2013 Census),1-4 Years,3069,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Hurunui,Demographics,Years at usual residence (2013 Census),5-9 Years,2409,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
