Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Selwyn,Demographics,Population - residents at 2013 census,Total people,44595,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Selwyn,Demographics,Projected population growth,Population projection - High,122800,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Selwyn,Demographics,Projected population growth,Population projection - Medium,99500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Selwyn,Demographics,Projected population growth,Population projection - Low,76500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Selwyn,Demographics,Median Age,,38.7,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Selwyn,Demographics,Age in broad groups,14 and under,22.275296017222820236813778260,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in broad groups,15-64,66.893164693218514531754574810,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in broad groups,65 and over,10.831539289558665231431646930,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,0-4,6.7949407965554359526372443500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,5-9,8.026103336921420882669537140,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,10-14,7.4542518837459634015069967700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,15-19,7.656081808396124865446716900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,20-24,5.7319698600645855758880516700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,25-29,4.4940796555435952637244348800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,30-34,5.0322927879440258342303552200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,35-39,6.8487621097954790096878363800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,40-44,8.826695371367061356297093650,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,45-49,8.510495156081808396124865450,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,50-54,7.7368137782561894510226049500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,55-59,6.4720129171151776103336921400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,60-64,5.5772335844994617868675995700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Age in five-year groups,65 and over,10.838266953713670613562970940,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Selwyn,Demographics,Population by sex,Male,50.924991590985536495122771610,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Selwyn,Demographics,Population by sex,Female,49.075008409014463504877228390,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Selwyn,Demographics,Number of families of each family type,Couple without children,5376,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Selwyn,Demographics,Number of families of each family type,Couple with child(ren),6306,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Selwyn,Demographics,Number of families of each family type,One parent with child(ren),1008,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Selwyn,Demographics,Years at usual residence (2013 Census),0 Years,9531,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years at usual residence (2013 Census),1-4 Years,13449,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years at usual residence (2013 Census),5-9 Years,9747,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years at usual residence (2013 Census),10-14 Years,4647,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years at usual residence (2013 Census),15-29 Years,3990,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years at usual residence (2013 Census),30 Years or More,1461,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,1767,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,18480,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,18066,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,3027,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Usual residence five years ago (2008 Census),Overseas,2301,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,12,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,2709,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Māori descent,Maori Descent,3858,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Māori descent,No Maori Descent,36921,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Māori descent,Don't Know,897,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Māori descent,Not Elsewhere Included,2919,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Ethnic group (grouped totals),European,39696,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Ethnic group (grouped totals),Maori,3036,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Ethnic group (grouped totals),Pacific Peoples,519,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Ethnic group (grouped totals),Asian,1371,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Ethnic group (grouped totals),MELAA,258,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Ethnic group (grouped totals),Other,975,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,1410,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,3558,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,1401,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years since arrival in NZ for those born overseas,20-29 Years,486,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years since arrival in NZ for those born overseas,30-39 Years,657,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years since arrival in NZ for those born overseas,40-49 Years,525,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years since arrival in NZ for those born overseas,50 Years or More,477,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Years since arrival in NZ for those born overseas,Not Elsewhere Included,177,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Place of birth,NZ born,80.10090817356205852674066599,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Place of birth,Overseas born,16.320215270770265724857046750,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Place of birth,Not Elsewhere Included,3.5788765556676757484022872500,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Selwyn,Demographics,Births in year,Māori,117,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Selwyn,Demographics,Births in year,All,744,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Selwyn,Demographics,Deaths in year,Māori,6,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Selwyn,Demographics,Deaths in year,All,213,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Selwyn,Demographics,Percentage of city/district's population born overseas,"Oceania and Antarctica, excluding New Zealand",2.1977255285006625,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Selwyn,Demographics,Percentage of city/district's population born overseas,UK and Ireland,8.246703411707248,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Selwyn,Demographics,Percentage of city/district's population born overseas,North-West Europe,1.1442126561082815,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Selwyn,Demographics,Percentage of city/district's population born overseas,Southern and Eastern Europe,0.3069838833461243,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Selwyn,Demographics,Percentage of city/district's population born overseas,North Africa and the Middle East,0.2232610060699086,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Selwyn,Demographics,Percentage of city/district's population born overseas,South-East Asia,1.2070048140654435,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Selwyn,Demographics,Percentage of city/district's population born overseas,Southern and Central Asia,0.4465220121398172,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Selwyn,Demographics,Percentage of city/district's population born overseas,Americas,0.9976976208749041,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Selwyn,Demographics,Percentage of city/district's population born overseas,Sub-Saharan Africa,1.2070048140654435,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Selwyn,Demographics,Percentage of city/district's population born overseas,At sea,0,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Selwyn,Demographics,Marriages and civil unions in year,,285,number,Number of marriages and civil unions,,2018,Year,https://figure.nz/table/wN0BvvHmV3rUX6RM
Selwyn,Demographics,Legally registered relationship status (Age 15+),Married,19206,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Legally registered relationship status (Age 15+),Separated/divorced or dissolved/widowed/surviving partner,3918,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Legally registered relationship status (Age 15+),Never married and never in a civil union,9615,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Legally registered relationship status (Age 15+),Not elsewhere included,1926,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Current relationship partner status (Age 15+),Partnered,23748,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Current relationship partner status (Age 15+),Non-Partnered,9555,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Cigarette smoking behaviour (Age 15+),Regular Smoker,3789,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Cigarette smoking behaviour (Age 15+),Ex-Smoker,7599,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Cigarette smoking behaviour (Age 15+),Never smoked regularly,21108,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Cigarette smoking behaviour (Age 15+),Not elsewhere included,2166,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),No Qualification,5754,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),Level 1 Certificate,4779,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),Level 2 Certificate,4245,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),Level 3 Certificate,3321,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),Level 4 Certificate,3663,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),Level 5 or Level 6 Diploma,3486,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),Bachelor Degree and Level 7 Qualifications,3729,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),Postgraduate and Honours Degrees,825,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),Masters Degree,729,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),Doctorate Degree,402,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),Overseas Secondary School Qualification,1434,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Highest qualification (Age 15+),Not elsewhere included,2289,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,"Number of children given birth to (Age 15+, Live births only)",No children,4527,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,"Number of children given birth to (Age 15+, Live births only)",One child,1770,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,"Number of children given birth to (Age 15+, Live births only)",Two children,5049,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,"Number of children given birth to (Age 15+, Live births only)",Three children,3087,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,"Number of children given birth to (Age 15+, Live births only)",Four children,1044,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,"Number of children given birth to (Age 15+, Live births only)",Five children,279,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,"Number of children given birth to (Age 15+, Live births only)",Six or more children,153,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,"Number of children given birth to (Age 15+, Live births only)",Object to answering,399,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,"Number of children given birth to (Age 15+, Live births only)",Not elsewhere included,735,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Religious affiliation,No religion,19680,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Religious affiliation,Buddhist,228,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Religious affiliation,Christian,20739,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Religious affiliation,Hindu,141,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Religious affiliation,Islam/Muslim,162,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Religious affiliation,Judaism,42,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Selwyn,Demographics,Religious affiliation,Māori Christian,114,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
