Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Clutha,Demographics,Population - residents at 2013 census,Total people,16890,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Clutha,Demographics,Projected population growth,Population projection - High,19150,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Clutha,Demographics,Projected population growth,Population projection - Medium,16500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Clutha,Demographics,Projected population growth,Population projection - Low,13900,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Clutha,Demographics,Median Age,,41.5,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Clutha,Demographics,Age in broad groups,14 and under,20.731923965180316219577189550,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in broad groups,15-64,63.528157754485699058447326350,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in broad groups,65 and over,15.739918280333984721975484100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,0-4,6.5896980461811722912966252200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,5-9,6.731793960923623445825932500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,10-14,7.4245115452930728241563055100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,15-19,6.1634103019538188277087033700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,20-24,5.0444049733570159857904085300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,25-29,4.5470692717584369449378330400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,30-34,4.9023090586145648312611012400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,35-39,6.1811722912966252220248667900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,40-44,7.7975133214920071047957371200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,45-49,7.6198934280639431616341030200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,50-54,7.8685612788632326820603907600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,55-59,7.2291296625222024866785079900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,60-64,6.1811722912966252220248667900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Age in five-year groups,65 and over,15.719360568383658969804618120,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Clutha,Demographics,Population by sex,Male,51.154529307282415630550621670,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Clutha,Demographics,Population by sex,Female,48.845470692717584369449378330,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Clutha,Demographics,Number of families of each family type,Couple without children,2232,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Clutha,Demographics,Number of families of each family type,Couple with child(ren),1914,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Clutha,Demographics,Number of families of each family type,One parent with child(ren),498,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Clutha,Demographics,Years at usual residence (2013 Census),0 Years,2919,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years at usual residence (2013 Census),1-4 Years,4011,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years at usual residence (2013 Census),5-9 Years,3414,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years at usual residence (2013 Census),10-14 Years,1860,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years at usual residence (2013 Census),15-29 Years,2235,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years at usual residence (2013 Census),30 Years or More,1392,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,1059,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,8160,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,5493,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,1113,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Usual residence five years ago (2008 Census),Overseas,459,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,6,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,1659,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Māori descent,Maori Descent,1923,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Māori descent,No Maori Descent,12777,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Māori descent,Don't Know,417,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Māori descent,Not Elsewhere Included,1773,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Ethnic group (grouped totals),European,14637,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Ethnic group (grouped totals),Maori,1605,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Ethnic group (grouped totals),Pacific Peoples,189,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Ethnic group (grouped totals),Asian,321,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Ethnic group (grouped totals),MELAA,69,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Ethnic group (grouped totals),Other,339,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,831,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,603,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,240,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years since arrival in NZ for those born overseas,20-29 Years,102,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years since arrival in NZ for those born overseas,30-39 Years,114,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years since arrival in NZ for those born overseas,40-49 Years,129,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years since arrival in NZ for those born overseas,50 Years or More,174,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Years since arrival in NZ for those born overseas,Not Elsewhere Included,72,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Clutha,Demographics,Place of birth,NZ born,85.71682359211227571504707763,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
