Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Opotiki,Demographics,Population - residents at 2013 census,Total people,8436,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Opotiki,Demographics,Projected population growth,Population projection - High,8440,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Opotiki,Demographics,Projected population growth,Population projection - Medium,6670,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Opotiki,Demographics,Projected population growth,Population projection - Low,4950,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Opotiki,Demographics,Median Age,,41.3,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Opotiki,Demographics,Age in broad groups,14 and under,22.830725462304409672830725460,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in broad groups,15-64,59.992887624466571834992887620,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in broad groups,65 and over,17.176386913229018492176386910,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,0-4,6.8941009239516702203269367400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,5-9,8.244491826581378820184790330,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,10-14,7.6759061833688699360341151400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,15-19,6.7519545131485429992892679500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,20-24,5.2594171997157071783937455600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,25-29,4.6552949538024164889836531600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,30-34,4.2288557213930348258706467700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,35-39,4.8329779673063255152807391600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,40-44,5.7924662402274342572850035500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,45-49,6.4676616915422885572139303500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,50-54,8.066808813077469793887704340,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,55-59,7.1428571428571428571428571400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Opotiki,Demographics,Age in five-year groups,60-64,6.8585643212508884150675195500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
