Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Invercargill,Demographics,Population - residents at 2013 census,Total people,51696,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Invercargill,Demographics,Projected population growth,Population projection - High,64000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Invercargill,Demographics,Projected population growth,Population projection - Medium,55500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Invercargill,Demographics,Projected population growth,Population projection - Low,47000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Invercargill,Demographics,Median Age,,39.2,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Invercargill,Demographics,Age in broad groups,14 and under,19.835190343546889507892293410,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in broad groups,15-64,64.107474466109563602599814300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in broad groups,65 and over,16.057335190343546889507892290,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,0-4,6.767266395821242019733023800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,5-9,6.5525246662797446314567614600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,10-14,6.5177016831108531630876378400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,15-19,6.4944863609982588508415554300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,20-24,6.5409170052234474753337202600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,25-29,6.0998258850841555426581543800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,30-34,5.8792803250145095763203714500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,35-39,6.1810795124782356355194428300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,40-44,6.6918165989553105049332559500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,45-49,6.9007544979686593151479976800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,50-54,7.2838073128264654672083575200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,55-59,6.448055716773070226349390600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,60-64,5.5890887986070806732443412700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Age in five-year groups,65 and over,16.053395240858966918165989550,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Invercargill,Demographics,Population by sex,Male,48.302478091811270384771632520,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Invercargill,Demographics,Population by sex,Female,51.697521908188729615228367480,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Invercargill,Demographics,Number of families of each family type,Couple without children,6060,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Invercargill,Demographics,Number of families of each family type,Couple with child(ren),5241,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Invercargill,Demographics,Number of families of each family type,One parent with child(ren),2670,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Invercargill,Demographics,Years at usual residence (2013 Census),0 Years,10581,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Years at usual residence (2013 Census),1-4 Years,14070,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Years at usual residence (2013 Census),5-9 Years,10059,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Years at usual residence (2013 Census),10-14 Years,4950,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Years at usual residence (2013 Census),15-29 Years,6330,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
