Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Tasman,Demographics,Population - residents at 2013 census,Total people,47154,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Tasman,Demographics,Projected population growth,Population projection - High,63900,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Tasman,Demographics,Projected population growth,Population projection - Medium,55800,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Tasman,Demographics,Projected population growth,Population projection - Low,47700,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Tasman,Demographics,Median Age,,44.2,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Tasman,Demographics,Age in broad groups,14 and under,20.002544853034737243924163380,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in broad groups,15-64,62.049879119480849980913602240,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in broad groups,65 and over,17.947576027484412775162234380,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,0-4,5.7966403665054721303130567600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,5-9,7.0055993891575464494782387400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,10-14,7.1901247136675998981929244100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,15-19,5.9557139221175871723084754400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,20-24,3.8750318147111224230083990800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,25-29,3.715958259099007381012980400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,30-34,4.3331636548740137439552048900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,35-39,5.6757444642402646983965385600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,40-44,7.7437006871977602443369814200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,45-49,7.8455077627895138712140493800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,50-54,8.004581318401628913209468060,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,55-59,7.6100789004835836090608297300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,60-64,7.2982947314838381267498091100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Age in five-year groups,65 and over,17.949860015271061338763044030,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tasman,Demographics,Population by sex,Male,49.290667345250970163496405620,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Tasman,Demographics,Population by sex,Female,50.709332654749029836503594380,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Tasman,Demographics,Number of families of each family type,Couple without children,6651,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Tasman,Demographics,Number of families of each family type,Couple with child(ren),5313,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Tasman,Demographics,Number of families of each family type,One parent with child(ren),1731,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Tasman,Demographics,Years at usual residence (2013 Census),0 Years,8604,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Years at usual residence (2013 Census),1-4 Years,12825,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Years at usual residence (2013 Census),5-9 Years,9603,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Years at usual residence (2013 Census),10-14 Years,5775,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Years at usual residence (2013 Census),15-29 Years,5709,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Years at usual residence (2013 Census),30 Years or More,2343,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,2298,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,21771,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,16701,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,2733,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Usual residence five years ago (2008 Census),Overseas,2103,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,27,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tasman,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,3819,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
