Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Taupo,Demographics,Population - residents at 2013 census,Total people,32907,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Taupo,Demographics,Projected population growth,Population projection - High,44400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Taupo,Demographics,Projected population growth,Population projection - Medium,39000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Taupo,Demographics,Projected population growth,Population projection - Low,33500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Taupo,Demographics,Median Age,,40.6,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Taupo,Demographics,Age in broad groups,14 and under,21.412944393801276207839562440,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in broad groups,15-64,61.631722880583409298085688240,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in broad groups,65 and over,16.955332725615314494074749320,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,0-4,7.2008021146659374715158144200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,5-9,7.4104457205359584358764014200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,10-14,6.8088597210828547990155865500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,15-19,5.9520554188314647707592744500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,20-24,5.1317108741226870841308905300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,25-29,5.1955154498222586819797648300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,30-34,5.5783429040196882690730106600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,35-39,5.9247106006745055145383283200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,40-44,7.1734572965089782152948682900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,45-49,6.9364688724819979947133351600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,50-54,7.1734572965089782152948682900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,55-59,6.4624920244280375535502688900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,60-64,6.0978944490019141372709871500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Age in five-year groups,65 and over,16.953787257314738856986601040,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Taupo,Demographics,Population by sex,Male,49.024612579762989972652689150,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Taupo,Demographics,Population by sex,Female,50.975387420237010027347310850,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Taupo,Demographics,Number of families of each family type,Couple without children,4191,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Taupo,Demographics,Number of families of each family type,Couple with child(ren),3306,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Taupo,Demographics,Number of families of each family type,One parent with child(ren),1635,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Taupo,Demographics,Years at usual residence (2013 Census),0 Years,7314,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Taupo,Demographics,Years at usual residence (2013 Census),1-4 Years,9261,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Taupo,Demographics,Years at usual residence (2013 Census),5-9 Years,6207,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Taupo,Demographics,Years at usual residence (2013 Census),10-14 Years,3396,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Taupo,Demographics,Years at usual residence (2013 Census),15-29 Years,3255,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Taupo,Demographics,Years at usual residence (2013 Census),30 Years or More,1173,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Taupo,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,2304,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Taupo,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,12927,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Taupo,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,12501,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Taupo,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,2367,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Taupo,Demographics,Usual residence five years ago (2008 Census),Overseas,1743,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Taupo,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,9,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
