Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Timaru,Demographics,Population - residents at 2013 census,Total people,43932,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Timaru,Demographics,Projected population growth,Population projection - High,57100,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Timaru,Demographics,Projected population growth,Population projection - Medium,50200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Timaru,Demographics,Projected population growth,Population projection - Low,43300,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Timaru,Demographics,Median Age,,44.7,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Timaru,Demographics,Age in broad groups,14 and under,18.111042819094447859045277610,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in broad groups,15-64,61.401352181929932390903503380,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in broad groups,65 and over,20.487604998975619750051219010,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,0-4,5.7835438716285421645612837100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,5-9,5.7972004096961420279959030400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,10-14,6.5346534653465346534653465300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,15-19,6.1590986684875384090133151200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,20-24,4.8890406282007511095937179900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,25-29,4.5749402526459542505974735400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,30-34,4.5476271765107545237282348900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,35-39,5.4694434960737453055650392600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,40-44,6.6439057698873335609423011300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,45-49,7.2516217138955274837828610400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,50-54,7.8320245817685216797541823100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,55-59,7.0194605667463298053943325400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,60-64,7.0058040286787299419597132100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Age in five-year groups,65 and over,20.491635370433595083646295660,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Timaru,Demographics,Population by sex,Male,48.572794318492215241737230260,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Timaru,Demographics,Population by sex,Female,51.427205681507784758262769740,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Timaru,Demographics,Number of families of each family type,Couple without children,6423,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Timaru,Demographics,Number of families of each family type,Couple with child(ren),4488,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Timaru,Demographics,Number of families of each family type,One parent with child(ren),1728,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Timaru,Demographics,Years at usual residence (2013 Census),0 Years,8049,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Timaru,Demographics,Years at usual residence (2013 Census),1-4 Years,11487,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Timaru,Demographics,Years at usual residence (2013 Census),5-9 Years,8703,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Timaru,Demographics,Years at usual residence (2013 Census),10-14 Years,5031,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Timaru,Demographics,Years at usual residence (2013 Census),15-29 Years,6003,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Timaru,Demographics,Years at usual residence (2013 Census),30 Years or More,2646,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Timaru,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,2013,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Timaru,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,20811,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Timaru,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,15807,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
