Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Matamata-Piako,Demographics,Population - residents at 2013 census,Total people,31536,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Matamata-Piako,Demographics,Projected population growth,Population projection - High,42500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Matamata-Piako,Demographics,Projected population growth,Population projection - Medium,37000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Matamata-Piako,Demographics,Projected population growth,Population projection - Low,31600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Matamata-Piako,Demographics,Median Age,,40.5,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Matamata-Piako,Demographics,Age in broad groups,14 and under,21.449633786740226386378769140,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in broad groups,15-64,60.525064206220869399790735280,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in broad groups,65 and over,18.025302007038904213830495580,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,0-4,7.0878127675768242793264199400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,5-9,7.1353819807820378650937113500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,10-14,7.2305204071924650366282941700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,15-19,6.6692036913709447245742555400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,20-24,5.6131671582152031205403862600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,25-29,5.1660165540861954143278470200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,30-34,4.9281704880601274854913899700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,35-39,5.5560841023689468176196365700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,40-44,6.5835791076015602701931310100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,45-49,6.8594805441917990676434211800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,50-54,7.3922557320901912282370849600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,55-59,6.1649700313956807154409666100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,60-64,5.594139472933117686233469700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Age in five-year groups,65 and over,18.019217962134906288649985730,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Matamata-Piako,Demographics,Population by sex,Male,48.867960426179604261796042620,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Matamata-Piako,Demographics,Population by sex,Female,51.132039573820395738203957380,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Matamata-Piako,Demographics,Number of families of each family type,Couple without children,4065,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
