Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Wairoa,Demographics,Population - residents at 2013 census,Total people,7890,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Wairoa,Demographics,Projected population growth,Population projection - High,8070,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Wairoa,Demographics,Projected population growth,Population projection - Medium,6310,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Wairoa,Demographics,Projected population growth,Population projection - Low,4600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Wairoa,Demographics,Median Age,,38.8,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Wairoa,Demographics,Age in broad groups,14 and under,24.638783269961977186311787070,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wairoa,Demographics,Age in broad groups,15-64,59.771863117870722433460076050,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wairoa,Demographics,Age in broad groups,65 and over,15.589353612167300380228136880,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wairoa,Demographics,Age in five-year groups,0-4,8.482312666413084823126664130,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wairoa,Demographics,Age in five-year groups,5-9,8.139977177634081399771776340,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wairoa,Demographics,Age in five-year groups,10-14,8.025865348041080258653480410,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wairoa,Demographics,Age in five-year groups,15-19,6.9227843286420692278432864200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wairoa,Demographics,Age in five-year groups,20-24,5.1730696082160517306960821600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Wairoa,Demographics,Age in five-year groups,25-29,4.3362495245340433624952453400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
