Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Lower Hutt,Demographics,Population - residents at 2013 census,Total people,98238,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Lower Hutt,Demographics,Projected population growth,Population projection - High,124600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Lower Hutt,Demographics,Projected population growth,Population projection - Medium,106700,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Lower Hutt,Demographics,Projected population growth,Population projection - Low,89000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Lower Hutt,Demographics,Median Age,,37.2,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Lower Hutt,Demographics,Age in broad groups,14 and under,21.373602882794845171929395960,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in broad groups,15-64,65.800403102669028278262993950,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in broad groups,65 and over,12.825994014536126549807610090,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,0-4,7.3653352876511542689629901100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,5-9,7.0844021008916575058018810300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,10-14,6.9256137779406375961890802500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,15-19,6.7332356174422865518504946900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,20-24,6.4828386466349090020764626800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,25-29,6.0370098937339684866251374100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,30-34,6.4370343227067301819958470700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,35-39,6.8370587516794918773665567400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,40-44,7.5088555026261145718822523500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,45-49,7.2279223158666178087211432800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,50-54,7.2492976670331012580920972300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,55-59,6.0400635153291804079638451200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,60-64,5.243068278978868938561133500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Age in five-year groups,65 and over,12.828264321485281543911078540,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Lower Hutt,Demographics,Population by sex,Male,48.408965980577780492273865510,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Lower Hutt,Demographics,Population by sex,Female,51.591034019422219507726134490,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
