Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Masterton,Demographics,Population - residents at 2013 census,Total people,23352,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Masterton,Demographics,Projected population growth,Population projection - High,29800,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Masterton,Demographics,Projected population growth,Population projection - Medium,25600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Masterton,Demographics,Projected population growth,Population projection - Low,21400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Masterton,Demographics,Median Age,,42.8,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Masterton,Demographics,Age in broad groups,14 and under,19.979442374405756135166388280,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Masterton,Demographics,Age in broad groups,15-64,60.940511370936656816137736090,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Masterton,Demographics,Age in broad groups,65 and over,19.080046254657587048695875630,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Masterton,Demographics,Age in five-year groups,0-4,6.2162856408939121500128435700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Masterton,Demographics,Age in five-year groups,5-9,6.8199332134600565116876444900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Masterton,Demographics,Age in five-year groups,10-14,6.9483688671975340354482404300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Masterton,Demographics,Age in five-year groups,15-19,6.6144361674800924736706909800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Masterton,Demographics,Age in five-year groups,20-24,5.2787053686103262265604931900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Masterton,Demographics,Age in five-year groups,25-29,4.5723092730541998458772155200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
