Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Upper Hutt,Demographics,Population - residents at 2013 census,Total people,40179,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Upper Hutt,Demographics,Projected population growth,Population projection - High,55200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Upper Hutt,Demographics,Projected population growth,Population projection - Medium,48100,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Upper Hutt,Demographics,Projected population growth,Population projection - Low,41200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Upper Hutt,Demographics,Median Age,,39.6,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Upper Hutt,Demographics,Age in broad groups,14 and under,20.309116702755170611513477190,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in broad groups,15-64,65.1758381243933398043754200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in broad groups,65 and over,14.515045172851489584111102810,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,0-4,6.7647278429030090345702979200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,5-9,6.5183304711416411558276711700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,10-14,7.0185918016874486672142163800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,15-19,6.8468603001567983274845068300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,20-24,5.764205181811394011797207500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,25-29,5.1519450459195101918912864900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,30-34,5.7343388337191069961920406200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,35-39,6.6975285596953632494586724400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,40-44,8.175912790263570521914432910,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,45-49,7.7428507429254087956395131800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,50-54,7.6905846337639065183304711400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,55-59,6.2196669902187709997760023900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,60-64,5.1594116329425819457925782100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Age in five-year groups,65 and over,14.515045172851489584111102810,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Upper Hutt,Demographics,Population by sex,Male,49.204808482042858209512431870,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Upper Hutt,Demographics,Population by sex,Female,50.795191517957141790487568130,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Upper Hutt,Demographics,Number of families of each family type,Couple without children,4296,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Upper Hutt,Demographics,Number of families of each family type,Couple with child(ren),4713,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Upper Hutt,Demographics,Number of families of each family type,One parent with child(ren),2010,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Upper Hutt,Demographics,Years at usual residence (2013 Census),0 Years,7155,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years at usual residence (2013 Census),1-4 Years,10926,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years at usual residence (2013 Census),5-9 Years,8088,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years at usual residence (2013 Census),10-14 Years,4455,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years at usual residence (2013 Census),15-29 Years,4632,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years at usual residence (2013 Census),30 Years or More,2421,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,2502,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,18417,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,14040,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,2718,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Usual residence five years ago (2008 Census),Overseas,1698,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,6,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,3306,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Māori descent,Maori Descent,6048,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Māori descent,No Maori Descent,29643,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Māori descent,Don't Know,849,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Māori descent,Not Elsewhere Included,3633,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Ethnic group (grouped totals),European,32172,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Ethnic group (grouped totals),Maori,5337,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Ethnic group (grouped totals),Pacific Peoples,1857,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Ethnic group (grouped totals),Asian,2283,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Ethnic group (grouped totals),MELAA,378,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Ethnic group (grouped totals),Other,750,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,2010,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,2874,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,1272,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years since arrival in NZ for those born overseas,20-29 Years,678,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years since arrival in NZ for those born overseas,30-39 Years,930,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years since arrival in NZ for those born overseas,40-49 Years,987,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years since arrival in NZ for those born overseas,50 Years or More,897,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Years since arrival in NZ for those born overseas,Not Elsewhere Included,210,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Place of birth,NZ born,74.860001493317404614350780260,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Place of birth,Overseas born,19.532591652355708205779138360,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Place of birth,Not Elsewhere Included,5.6074068543268871798700813900,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Upper Hutt,Demographics,Births in year,Māori,150,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Upper Hutt,Demographics,Births in year,All,516,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Upper Hutt,Demographics,Deaths in year,Māori,24,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Upper Hutt,Demographics,Deaths in year,All,333,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Upper Hutt,Demographics,Percentage of city/district's population born overseas,"Oceania and Antarctica, excluding New Zealand",3.1086853345989556,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Upper Hutt,Demographics,Percentage of city/district's population born overseas,UK and Ireland,8.938459104572061,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Upper Hutt,Demographics,Percentage of city/district's population born overseas,North-West Europe,1.146970416073406,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Upper Hutt,Demographics,Percentage of city/district's population born overseas,Southern and Eastern Europe,0.39550704002531245,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Upper Hutt,Demographics,Percentage of city/district's population born overseas,North Africa and the Middle East,0.20566366081316245,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Upper Hutt,Demographics,Percentage of city/district's population born overseas,South-East Asia,2.032906185730106,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
