Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Grey,Demographics,Population - residents at 2013 census,Total people,13371,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Grey,Demographics,Projected population growth,Population projection - High,14750,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Grey,Demographics,Projected population growth,Population projection - Medium,12600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Grey,Demographics,Projected population growth,Population projection - Low,10450,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Grey,Demographics,Median Age,,41.9,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Grey,Demographics,Age in broad groups,14 and under,19.878842270585595692169620820,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in broad groups,15-64,64.123850123401391070226609830,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in broad groups,65 and over,15.997307606013013237603769350,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,0-4,6.9970845481049562682215743400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,5-9,6.30186140390222022875084100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,10-14,6.5709800403677954698362861600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,15-19,6.3467145099798161022650818600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,20-24,5.5842117066606862525229872200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,25-29,4.9786947746131419600807355900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,30-34,4.7544292442251625925095312900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,35-39,5.4945054945054945054945054900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,40-44,7.4007625028033191298497420900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,45-49,7.6698811392688943709351872600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,50-54,8.297824624355236600134559320,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,55-59,7.333482843686925319578380800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,60-64,6.2794348508634222919937205700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Age in five-year groups,65 and over,15.990132316662928907826867010,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Grey,Demographics,Population by sex,Male,50.0,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Grey,Demographics,Population by sex,Female,50.0,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Grey,Demographics,Number of families of each family type,Couple without children,1614,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Grey,Demographics,Number of families of each family type,Couple with child(ren),1329,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Grey,Demographics,Number of families of each family type,One parent with child(ren),486,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Grey,Demographics,Years at usual residence (2013 Census),0 Years,2118,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Years at usual residence (2013 Census),1-4 Years,3339,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Years at usual residence (2013 Census),5-9 Years,2415,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Years at usual residence (2013 Census),10-14 Years,1266,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Years at usual residence (2013 Census),15-29 Years,2103,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Years at usual residence (2013 Census),30 Years or More,1065,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,1068,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,6375,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,4107,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,936,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Usual residence five years ago (2008 Census),Overseas,459,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,6,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,1488,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Māori descent,Maori Descent,1410,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Māori descent,No Maori Descent,10110,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Māori descent,Don't Know,339,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Māori descent,Not Elsewhere Included,1512,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Ethnic group (grouped totals),European,11490,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Ethnic group (grouped totals),Maori,1155,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Ethnic group (grouped totals),Pacific Peoples,141,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Ethnic group (grouped totals),Asian,222,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Ethnic group (grouped totals),MELAA,39,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Ethnic group (grouped totals),Other,315,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,969,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,552,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Grey,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,159,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
