Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Whanganui,Demographics,Population - residents at 2013 census,Total people,42150,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Whanganui,Demographics,Projected population growth,Population projection - High,49600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Whanganui,Demographics,Projected population growth,Population projection - Medium,42500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Whanganui,Demographics,Projected population growth,Population projection - Low,35600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Whanganui,Demographics,Median Age,,42.4,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Whanganui,Demographics,Age in broad groups,14 and under,20.204967617963134296491352930,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in broad groups,15-64,60.55085047327592342182051100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in broad groups,65 and over,19.244181908760942281688136080,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in five-year groups,0-4,6.6609735269000853970964987200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in five-year groups,5-9,6.4830629091944207230287503600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in five-year groups,10-14,7.0594933105607742670082550500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in five-year groups,15-19,6.717904924565898092798178200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in five-year groups,20-24,5.3017364076288072872189012200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in five-year groups,25-29,4.7466552803871335041275263300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in five-year groups,30-34,4.739538855678906917164816400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in five-year groups,35-39,5.2448050099629945915172217500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in five-year groups,40-44,6.3336179903216623968118417300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in five-year groups,45-49,6.8531169940222032450896669500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whanganui,Demographics,Age in five-year groups,50-54,7.4366638200967833760318815800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
