Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Ashburton,Demographics,Population - residents at 2013 census,Total people,31041,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Ashburton,Demographics,Projected population growth,Population projection - High,47500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Ashburton,Demographics,Projected population growth,Population projection - Medium,41900,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Ashburton,Demographics,Projected population growth,Population projection - Low,36300,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Ashburton,Demographics,Median Age,,39.8,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Ashburton,Demographics,Age in broad groups,14 and under,20.691988015850004832318546440,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in broad groups,15-64,62.568860539286749782545665410,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in broad groups,65 and over,16.739151444863245385135788150,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in five-year groups,0-4,7.37483085250338294993234100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in five-year groups,5-9,6.7562342934467427024937173800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in five-year groups,10-14,6.562922868741542625169147500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in five-year groups,15-19,5.7896771699207423158708679700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in five-year groups,20-24,5.4610477479219021844190991700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in five-year groups,25-29,5.8380050260970423352020104400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in five-year groups,30-34,6.1473033056253624589213222500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in five-year groups,35-39,6.3019524453895225207809781600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in five-year groups,40-44,6.9882080030929827952832012400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Ashburton,Demographics,Age in five-year groups,45-49,6.8722211482698627488884593100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
