Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Palmerston North,Demographics,Population - residents at 2013 census,Total people,80079,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Palmerston North,Demographics,Projected population growth,Population projection - High,114500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Palmerston North,Demographics,Projected population growth,Population projection - Medium,100700,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Palmerston North,Demographics,Projected population growth,Population projection - Low,87000,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Palmerston North,Demographics,Median Age,,33.8,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Palmerston North,Demographics,Age in broad groups,14 and under,19.997752219683062975311879520,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in broad groups,15-64,66.751582811973176488217884840,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in broad groups,65 and over,13.250664968343760536470235640,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,0-4,6.9726489321843387036343199700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,5-9,6.5267890595728737354814537300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,10-14,6.500562008242787560884226300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,15-19,8.336455601348819782690146120,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,20-24,9.805170475833645560134881980,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,25-29,7.0700636942675159235668789800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,30-34,6.2307980517047583364556013500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,35-39,5.9198201573623079805170475800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,40-44,6.4818284001498688647433495700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,45-49,6.1071562382914949419258149100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,50-54,6.4968152866242038216560509600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,55-59,5.4364930685650056200824278800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,60-64,4.8632446609216935181715998500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Age in five-year groups,65 and over,13.252154364930685650056200820,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Palmerston North,Demographics,Population by sex,Male,47.943358057990559676331759950,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Palmerston North,Demographics,Population by sex,Female,52.056641942009440323668240050,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Palmerston North,Demographics,Number of families of each family type,Couple without children,8241,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Palmerston North,Demographics,Number of families of each family type,Couple with child(ren),7971,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Palmerston North,Demographics,Number of families of each family type,One parent with child(ren),4065,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Palmerston North,Demographics,Years at usual residence (2013 Census),0 Years,19113,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Years at usual residence (2013 Census),1-4 Years,23553,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Years at usual residence (2013 Census),5-9 Years,14631,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Years at usual residence (2013 Census),10-14 Years,7068,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Years at usual residence (2013 Census),15-29 Years,7260,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Years at usual residence (2013 Census),30 Years or More,3543,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,4911,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,30324,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,32199,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,5583,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Usual residence five years ago (2008 Census),Overseas,5205,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,18,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,6750,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Māori descent,Maori Descent,14133,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Māori descent,No Maori Descent,56877,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Māori descent,Don't Know,1902,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Māori descent,Not Elsewhere Included,7170,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Ethnic group (grouped totals),European,60045,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Ethnic group (grouped totals),Maori,12546,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Palmerston North,Demographics,Ethnic group (grouped totals),Pacific Peoples,3396,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
