Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Tararua,Demographics,Population - residents at 2013 census,Total people,16854,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Tararua,Demographics,Projected population growth,Population projection - High,18050,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Tararua,Demographics,Projected population growth,Population projection - Medium,15350,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Tararua,Demographics,Projected population growth,Population projection - Low,12650,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Tararua,Demographics,Median Age,,41.4,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Tararua,Demographics,Age in broad groups,14 and under,21.996796583021890016017084890,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in broad groups,15-64,60.971703150026695141484249870,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in broad groups,65 and over,17.031500266951414842498665240,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,0-4,7.3144687666844634276561665800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,5-9,7.5636234205374621818828973100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,10-14,7.1365011567894643174942160500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,15-19,6.2644598683039686777006584800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,20-24,4.8229222281544758853888592300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,25-29,4.5737675743014771311621284900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,30-34,4.8763125111229756184374443900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,35-39,5.4102153408079729489232959600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,40-44,6.7983626979889660081865100600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,45-49,7.0475173518419647624132407900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,50-54,7.6348104644954618259476775200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,55-59,7.2432817227264637835913863700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,60-64,6.2822566292934685887168535300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Age in five-year groups,65 and over,17.031500266951414842498665240,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Tararua,Demographics,Population by sex,Male,49.056603773584905660377358490,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Tararua,Demographics,Population by sex,Female,50.943396226415094339622641510,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Tararua,Demographics,Number of families of each family type,Couple without children,2115,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Tararua,Demographics,Number of families of each family type,Couple with child(ren),1704,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Tararua,Demographics,Number of families of each family type,One parent with child(ren),780,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Tararua,Demographics,Years at usual residence (2013 Census),0 Years,2979,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Years at usual residence (2013 Census),1-4 Years,4263,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Years at usual residence (2013 Census),5-9 Years,3471,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Years at usual residence (2013 Census),10-14 Years,1671,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Years at usual residence (2013 Census),15-29 Years,2097,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Years at usual residence (2013 Census),30 Years or More,1233,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,1140,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,7800,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,5769,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,1233,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Usual residence five years ago (2008 Census),Overseas,348,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,9,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,1695,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Māori descent,Maori Descent,3711,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Māori descent,No Maori Descent,10992,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Māori descent,Don't Know,423,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Māori descent,Not Elsewhere Included,1725,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Ethnic group (grouped totals),European,13590,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Ethnic group (grouped totals),Maori,3378,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Ethnic group (grouped totals),Pacific Peoples,246,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Ethnic group (grouped totals),Asian,327,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Ethnic group (grouped totals),MELAA,21,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Ethnic group (grouped totals),Other,324,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,912,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,405,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Tararua,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,195,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
