Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Far North,Demographics,Population - residents at 2013 census,Total people,55734,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Far North,Demographics,Projected population growth,Population projection - High,73700,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Far North,Demographics,Projected population growth,Population projection - Medium,64200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Far North,Demographics,Projected population growth,Population projection - Low,54700,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Far North,Demographics,Median Age,,43.3,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Far North,Demographics,Age in broad groups,14 and under,22.225212617073958445473140270,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in broad groups,15-64,59.753471848422865755194315860,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in broad groups,65 and over,18.021315534503175799332543870,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,0-4,7.0897932816537467700258397900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,5-9,7.4235572782084409991386735600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,10-14,7.7142549526270456503014642500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,15-19,6.3953488372093023255813953500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,20-24,4.4035314384151593453919035300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,25-29,3.9836347975882859603789836300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,30-34,4.0051679586563307493540051700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,35-39,4.9095607235142118863049095600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,40-44,6.1477174849267872523686477200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,45-49,7.0897932816537467700258397900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,50-54,7.8219207579672695951765719200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,55-59,7.5366063738156761412575366100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,60-64,7.4558570198105081826012058600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Age in five-year groups,65 and over,18.023255813953488372093023260,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Far North,Demographics,Population by sex,Male,48.853482613844332005598019160,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Far North,Demographics,Population by sex,Female,51.146517386155667994401980840,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Far North,Demographics,Number of families of each family type,Couple without children,6399,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Far North,Demographics,Number of families of each family type,Couple with child(ren),4806,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Far North,Demographics,Number of families of each family type,One parent with child(ren),3351,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Far North,Demographics,Years at usual residence (2013 Census),0 Years,9645,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Years at usual residence (2013 Census),1-4 Years,13332,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Years at usual residence (2013 Census),5-9 Years,10629,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Years at usual residence (2013 Census),10-14 Years,5775,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Years at usual residence (2013 Census),15-29 Years,6762,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Years at usual residence (2013 Census),30 Years or More,2796,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,6792,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,23775,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,17340,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,3951,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Usual residence five years ago (2008 Census),Overseas,2247,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,39,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,8379,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Māori descent,Maori Descent,22635,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Māori descent,No Maori Descent,23871,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Māori descent,Don't Know,1224,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Māori descent,Not Elsewhere Included,8004,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Ethnic group (grouped totals),European,33036,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Ethnic group (grouped totals),Maori,22110,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Ethnic group (grouped totals),Pacific Peoples,1884,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Ethnic group (grouped totals),Asian,1089,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Ethnic group (grouped totals),MELAA,198,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Ethnic group (grouped totals),Other,846,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,6006,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,2646,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,1287,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Years since arrival in NZ for those born overseas,20-29 Years,711,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Far North,Demographics,Years since arrival in NZ for those born overseas,30-39 Years,882,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
