Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Whangarei,Demographics,Population - residents at 2013 census,Total people,76995,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Whangarei,Demographics,Projected population growth,Population projection - High,121600,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Whangarei,Demographics,Projected population growth,Population projection - Medium,107300,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Whangarei,Demographics,Projected population growth,Population projection - Low,93200,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Whangarei,Demographics,Median Age,,41.8,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Whangarei,Demographics,Age in broad groups,14 and under,21.515682836547827781024741870,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whangarei,Demographics,Age in broad groups,15-64,60.397428404441846873173582700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whangarei,Demographics,Age in broad groups,65 and over,18.086888759010325345801675430,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whangarei,Demographics,Age in five-year groups,0-4,7.1695760598503740648379052400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whangarei,Demographics,Age in five-year groups,5-9,7.302057356608478802992518700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whangarei,Demographics,Age in five-year groups,10-14,7.044887780548628428927680800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whangarei,Demographics,Age in five-year groups,15-19,6.3785847880299251870324189500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whangarei,Demographics,Age in five-year groups,20-24,4.9096009975062344139650872800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whangarei,Demographics,Age in five-year groups,25-29,4.8550498753117206982543640900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whangarei,Demographics,Age in five-year groups,30-34,4.5589152119700748129675810500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Whangarei,Demographics,Age in five-year groups,35-39,5.4706982543640897755610972600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
