Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Dunedin,Demographics,Population - residents at 2013 census,Total people,120249,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Dunedin,Demographics,Projected population growth,Population projection - High,153100,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Dunedin,Demographics,Projected population growth,Population projection - Medium,136500,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Dunedin,Demographics,Projected population growth,Population projection - Low,119700,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Dunedin,Demographics,Median Age,,36.7,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Dunedin,Demographics,Age in broad groups,14 and under,16.151485667240476012274530350,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in broad groups,15-64,68.961904049098121398098944690,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in broad groups,65 and over,14.886610283661402589626524960,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,0-4,5.2887613820631158787576400100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,5-9,5.3261818635399775477111138800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,10-14,5.5382312585755270051141324700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,15-19,10.455282524635150305600598730,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,20-24,10.894349507296993887988025450,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,25-29,5.510789572159161781214918300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,30-34,5.2238992141698889859049519800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,35-39,5.4608955968566795559436198100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,40-44,6.4762379942621928402145440900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,45-49,6.4537857053760758388424597700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,50-54,6.9327678682799052014469252800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,55-59,6.191842335038044156168142700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,60-64,5.3611076462517151054010228300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Age in five-year groups,65 and over,14.885867531495571909691904700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Dunedin,Demographics,Population by sex,Male,47.955492353366763964773095830,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Dunedin,Demographics,Population by sex,Female,52.044507646633236035226904170,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Dunedin,Demographics,Number of families of each family type,Couple without children,13344,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
