Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Otorohanga,Demographics,Population - residents at 2013 census,Total people,9138,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Otorohanga,Demographics,Projected population growth,Population projection - High,12750,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Otorohanga,Demographics,Projected population growth,Population projection - Medium,10850,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Otorohanga,Demographics,Projected population growth,Population projection - Low,8940,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Otorohanga,Demographics,Median Age,,36.9,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Otorohanga,Demographics,Age in broad groups,14 and under,23.309258043335521996060407090,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in broad groups,15-64,63.591595535128036769533814840,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in broad groups,65 and over,13.099146421536441234405778070,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,0-4,8.237610764686576960945191990,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,5-9,7.94223826714801444043321300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,10-14,7.1217591073186741056777157900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,15-19,6.8263866097801115851657367900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,20-24,5.8089924515917295700689202500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,25-29,5.8089924515917295700689202500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,30-34,6.0059074499507712504102395800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,35-39,5.8746307843780767968493600300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,40-44,7.0561207745323268788972760100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,45-49,6.7279291106005907449950771300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,50-54,7.2858549392845421726288152300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,55-59,6.2684607810961601575319986900,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,60-64,5.940269117164424023629799800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Age in five-year groups,65 and over,13.094847390876271742697735480,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Otorohanga,Demographics,Population by sex,Male,51.772816808929743926460932370,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Otorohanga,Demographics,Population by sex,Female,48.227183191070256073539067630,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Otorohanga,Demographics,Number of families of each family type,Couple without children,1062,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Otorohanga,Demographics,Number of families of each family type,Couple with child(ren),1017,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Otorohanga,Demographics,Number of families of each family type,One parent with child(ren),378,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Otorohanga,Demographics,Years at usual residence (2013 Census),0 Years,1998,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years at usual residence (2013 Census),1-4 Years,2271,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years at usual residence (2013 Census),5-9 Years,1692,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years at usual residence (2013 Census),10-14 Years,915,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years at usual residence (2013 Census),15-29 Years,960,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years at usual residence (2013 Census),30 Years or More,606,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,702,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,3888,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,3222,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,753,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Usual residence five years ago (2008 Census),Overseas,255,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,9,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,1011,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Māori descent,Maori Descent,2481,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Māori descent,No Maori Descent,5493,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Māori descent,Don't Know,240,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Māori descent,Not Elsewhere Included,921,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Ethnic group (grouped totals),European,6849,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Ethnic group (grouped totals),Maori,2346,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Ethnic group (grouped totals),Pacific Peoples,192,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Ethnic group (grouped totals),Asian,204,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Ethnic group (grouped totals),MELAA,21,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Ethnic group (grouped totals),Other,180,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,504,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,372,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,183,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years since arrival in NZ for those born overseas,20-29 Years,66,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years since arrival in NZ for those born overseas,30-39 Years,93,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years since arrival in NZ for those born overseas,40-49 Years,72,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years since arrival in NZ for those born overseas,50 Years or More,81,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Years since arrival in NZ for those born overseas,Not Elsewhere Included,24,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Place of birth,NZ born,84.11030860144451739986868024,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Place of birth,Overseas born,9.783322390019697964543663820,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Place of birth,Not Elsewhere Included,6.1063690085357846355876559400,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Otorohanga,Demographics,Births in year,Māori,63,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Otorohanga,Demographics,Births in year,All,135,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Otorohanga,Demographics,Deaths in year,Māori,15,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Otorohanga,Demographics,Deaths in year,All,60,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Otorohanga,Demographics,Percentage of city/district's population born overseas,"Oceania and Antarctica, excluding New Zealand",2.4825174825174825,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Otorohanga,Demographics,Percentage of city/district's population born overseas,UK and Ireland,4.055944055944056,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Otorohanga,Demographics,Percentage of city/district's population born overseas,North-West Europe,0.8741258741258742,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Otorohanga,Demographics,Percentage of city/district's population born overseas,Southern and Eastern Europe,0.17482517482517482,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Otorohanga,Demographics,Percentage of city/district's population born overseas,North Africa and the Middle East,0,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Otorohanga,Demographics,Percentage of city/district's population born overseas,South-East Asia,0.5944055944055944,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Otorohanga,Demographics,Percentage of city/district's population born overseas,Southern and Central Asia,0.48951048951048953,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Otorohanga,Demographics,Percentage of city/district's population born overseas,Americas,0.4195804195804196,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Otorohanga,Demographics,Percentage of city/district's population born overseas,Sub-Saharan Africa,1.2587412587412588,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Otorohanga,Demographics,Percentage of city/district's population born overseas,At sea,0,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Otorohanga,Demographics,Marriages and civil unions in year,,45,number,Number of marriages and civil unions,,2018,Year,https://figure.nz/table/wN0BvvHmV3rUX6RM
Otorohanga,Demographics,Legally registered relationship status (Age 15+),Married,3183,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Legally registered relationship status (Age 15+),Separated/divorced or dissolved/widowed/surviving partner,999,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Legally registered relationship status (Age 15+),Never married and never in a civil union,2091,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Legally registered relationship status (Age 15+),Not elsewhere included,738,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Current relationship partner status (Age 15+),Partnered,4257,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Current relationship partner status (Age 15+),Non-Partnered,2190,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Cigarette smoking behaviour (Age 15+),Regular Smoker,1185,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Cigarette smoking behaviour (Age 15+),Ex-Smoker,1590,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Cigarette smoking behaviour (Age 15+),Never smoked regularly,3567,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Cigarette smoking behaviour (Age 15+),Not elsewhere included,669,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),No Qualification,1971,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),Level 1 Certificate,1089,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),Level 2 Certificate,726,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),Level 3 Certificate,450,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),Level 4 Certificate,669,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),Level 5 or Level 6 Diploma,501,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),Bachelor Degree and Level 7 Qualifications,444,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),Postgraduate and Honours Degrees,81,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),Masters Degree,45,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),Doctorate Degree,12,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),Overseas Secondary School Qualification,186,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Highest qualification (Age 15+),Not elsewhere included,837,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,"Number of children given birth to (Age 15+, Live births only)",No children,675,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,"Number of children given birth to (Age 15+, Live births only)",One child,309,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,"Number of children given birth to (Age 15+, Live births only)",Two children,789,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,"Number of children given birth to (Age 15+, Live births only)",Three children,663,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,"Number of children given birth to (Age 15+, Live births only)",Four children,372,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,"Number of children given birth to (Age 15+, Live births only)",Five children,108,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,"Number of children given birth to (Age 15+, Live births only)",Six or more children,87,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,"Number of children given birth to (Age 15+, Live births only)",Object to answering,90,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,"Number of children given birth to (Age 15+, Live births only)",Not elsewhere included,261,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Otorohanga,Demographics,Religious affiliation,No religion,3948,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
