Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Thames-Coromandel,Demographics,Population - residents at 2013 census,Total people,26178,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Thames-Coromandel,Demographics,Projected population growth,Population projection - High,32400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Thames-Coromandel,Demographics,Projected population growth,Population projection - Medium,28400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Thames-Coromandel,Demographics,Projected population growth,Population projection - Low,24400,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Thames-Coromandel,Demographics,Median Age,,51.2,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Thames-Coromandel,Demographics,Age in broad groups,14 and under,16.315307057745187901008249310,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in broad groups,15-64,56.725481209899175068744271310,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in broad groups,65 and over,26.959211732355637030247479380,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,0-4,4.9386960009166953133952102700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,5-9,5.6147587945456628852984989100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,10-14,5.7522630915549444253466254200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,15-19,4.5376418013062908215881746300,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,20-24,3.345937893892517474504411600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,25-29,3.4032313509797181161911309700,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,30-34,3.620946487911080554600664600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,35-39,4.8011917039074137733470837600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,40-44,5.9814369199037469920935029200,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,45-49,6.3137389710095107138764753100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,50-54,7.5054428784232840609602383400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,55-59,8.055460066460410221152744360,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,60-64,9.166953133952102669875100260,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Age in five-year groups,65 and over,26.962300905236621977770138650,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Thames-Coromandel,Demographics,Population by sex,Male,48.452899381159752463900985560,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Thames-Coromandel,Demographics,Population by sex,Female,51.547100618840247536099014440,percentage,% of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Thames-Coromandel,Demographics,Number of families of each family type,Couple without children,4371,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Thames-Coromandel,Demographics,Number of families of each family type,Couple with child(ren),2082,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Thames-Coromandel,Demographics,Number of families of each family type,One parent with child(ren),1104,number,Number of families,,2013,Census Year,https://figure.nz/table/hMZ5vC2AbDnPpi8z
Thames-Coromandel,Demographics,Years at usual residence (2013 Census),0 Years,4917,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Years at usual residence (2013 Census),1-4 Years,6909,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Years at usual residence (2013 Census),5-9 Years,5355,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Years at usual residence (2013 Census),10-14 Years,3111,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Years at usual residence (2013 Census),15-29 Years,3348,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Years at usual residence (2013 Census),30 Years or More,1101,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Years at usual residence (2013 Census),Not Elsewhere Included,1437,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Usual residence five years ago (2008 Census),Same as Usual Residence,11889,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Usual residence five years ago (2008 Census),Elsewhere in New Zealand,9432,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Usual residence five years ago (2008 Census),Not Born Five Years Ago,1293,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Usual residence five years ago (2008 Census),Overseas,1149,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,9,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,2409,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Māori descent,Maori Descent,4878,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Māori descent,No Maori Descent,18057,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Māori descent,Don't Know,684,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Māori descent,Not Elsewhere Included,2562,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Ethnic group (grouped totals),European,22128,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Ethnic group (grouped totals),Maori,4149,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Ethnic group (grouped totals),Pacific Peoples,393,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Ethnic group (grouped totals),Asian,645,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Ethnic group (grouped totals),MELAA,78,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Thames-Coromandel,Demographics,Ethnic group (grouped totals),Other,528,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
