Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Waitomo,Demographics,Population - residents at 2013 census,Total people,8907,number,Number of people,,2013,Census Year,https://figure.nz/table/VL93L0Yr0wPdvbKB
Waitomo,Demographics,Projected population growth,Population projection - High,10550,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waitomo,Demographics,Projected population growth,Population projection - Medium,8760,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waitomo,Demographics,Projected population growth,Population projection - Low,7010,number,Number of people,,2043,Year ended June,https://figure.nz/table/xZOqU5b6uSVVMPiD
Waitomo,Demographics,Median Age,,38,number,Years,,2013,Year,https://figure.nz/table/OBZl3mRZUjCTRWoD
Waitomo,Demographics,Age in broad groups,14 and under,23.955525606469002695417789760,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitomo,Demographics,Age in broad groups,15-64,62.365229110512129380053908360,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitomo,Demographics,Age in broad groups,65 and over,13.679245283018867924528301890,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitomo,Demographics,Age in five-year groups,0-4,7.8167115902964959568733153600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitomo,Demographics,Age in five-year groups,5-9,8.086253369272237196765498650,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitomo,Demographics,Age in five-year groups,10-14,8.052560646900269541778975740,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitomo,Demographics,Age in five-year groups,15-19,6.8733153638814016172506738500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitomo,Demographics,Age in five-year groups,20-24,5.491913746630727762803234500,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitomo,Demographics,Age in five-year groups,25-29,5.4245283018867924528301886800,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitomo,Demographics,Age in five-year groups,30-34,5.3571428571428571428571428600,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitomo,Demographics,Age in five-year groups,35-39,5.5256064690026954177897574100,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
Waitomo,Demographics,Age in five-year groups,40-44,6.2331536388140161725067385400,percentage,% of people,,2013,Census Year,https://figure.nz/table/exRiLbx17PAuSlT6
